brand,month,spend,campaign_type,conversion_rate
ApexMotors,2019-01,418000,Digital Ads,0.0364
ApexMotors,2019-02,396000,Digital Ads,0.0314
ApexMotors,2019-03,306000,TV Commercial,0.036
ApexMotors,2019-04,371000,Dealership Event,0.0198
ApexMotors,2019-05,113000,Sponsorship,0.0232
ApexMotors,2019-06,404000,Sponsorship,0.0211
ApexMotors,2019-07,66000,Sponsorship,0.0286
ApexMotors,2019-08,436000,Dealership Event,0.037
ApexMotors,2019-09,446000,Dealership Event,0.0385
ApexMotors,2019-10,413000,Digital Ads,0.0269
ApexMotors,2019-11,200000,Digital Ads,0.0383
ApexMotors,2019-12,449000,TV Commercial,0.0364
ApexMotors,2020-01,336000,Sponsorship,0.0387
ApexMotors,2020-02,394000,Digital Ads,0.0312
ApexMotors,2020-03,177000,Sponsorship,0.0337
ApexMotors,2020-04,78000,Dealership Event,0.0372
ApexMotors,2020-05,249000,Dealership Event,0.0263
ApexMotors,2020-06,393000,TV Commercial,0.0292
ApexMotors,2020-07,311000,Dealership Event,0.0324
ApexMotors,2020-08,318000,Dealership Event,0.0178
ApexMotors,2020-09,115000,Dealership Event,0.0327
ApexMotors,2020-10,373000,Dealership Event,0.0167
ApexMotors,2020-11,432000,Dealership Event,0.0237
ApexMotors,2020-12,118000,TV Commercial,0.0415
ApexMotors,2021-01,93000,Sponsorship,0.0357
ApexMotors,2021-02,228000,Dealership Event,0.0184
ApexMotors,2021-03,62000,Dealership Event,0.0209
ApexMotors,2021-04,73000,Digital Ads,0.0192
ApexMotors,2021-05,271000,TV Commercial,0.0302
ApexMotors,2021-06,158000,Digital Ads,0.0206
ApexMotors,2021-07,61000,Dealership Event,0.0218
ApexMotors,2021-08,310000,Digital Ads,0.0334
ApexMotors,2021-09,219000,TV Commercial,0.0261
ApexMotors,2021-10,103000,Sponsorship,0.0327
ApexMotors,2021-11,407000,Digital Ads,0.0192
ApexMotors,2021-12,324000,TV Commercial,0.0174
ApexMotors,2022-01,413000,Sponsorship,0.0269
ApexMotors,2022-02,270000,Digital Ads,0.0177
ApexMotors,2022-03,208000,TV Commercial,0.0227
ApexMotors,2022-04,422000,Sponsorship,0.0345
ApexMotors,2022-05,129000,Dealership Event,0.0295
ApexMotors,2022-06,342000,Digital Ads,0.0357
ApexMotors,2022-07,436000,TV Commercial,0.0186
ApexMotors,2022-08,247000,TV Commercial,0.0277
ApexMotors,2022-09,436000,Sponsorship,0.0377
ApexMotors,2022-10,280000,Sponsorship,0.0226
ApexMotors,2022-11,238000,Digital Ads,0.0273
ApexMotors,2022-12,134000,Dealership Event,0.041
ApexMotors,2023-01,436000,Digital Ads,0.0361
ApexMotors,2023-02,164000,TV Commercial,0.024
ApexMotors,2023-03,227000,Digital Ads,0.0374
ApexMotors,2023-04,293000,Sponsorship,0.0267
ApexMotors,2023-05,251000,Sponsorship,0.0293
ApexMotors,2023-06,422000,Dealership Event,0.0316
ApexMotors,2023-07,145000,Dealership Event,0.0163
ApexMotors,2023-08,242000,Dealership Event,0.036
ApexMotors,2023-09,301000,Dealership Event,0.0283
ApexMotors,2023-10,203000,TV Commercial,0.0377
ApexMotors,2023-11,370000,Dealership Event,0.0394
ApexMotors,2023-12,417000,TV Commercial,0.0187
Voltaic,2019-01,333000,Digital Ads,0.0158
Voltaic,2019-02,205000,TV Commercial,0.021
Voltaic,2019-03,442000,Digital Ads,0.0166
Voltaic,2019-04,84000,TV Commercial,0.0251
Voltaic,2019-05,79000,TV Commercial,0.0254
Voltaic,2019-06,283000,Sponsorship,0.0414
Voltaic,2019-07,372000,Digital Ads,0.0315
Voltaic,2019-08,384000,Sponsorship,0.0166
Voltaic,2019-09,52000,Digital Ads,0.0304
Voltaic,2019-10,269000,TV Commercial,0.0319
Voltaic,2019-11,446000,Sponsorship,0.04
Voltaic,2019-12,310000,Digital Ads,0.0356
Voltaic,2020-01,400000,TV Commercial,0.044
Voltaic,2020-02,223000,Digital Ads,0.0441
Voltaic,2020-03,232000,Sponsorship,0.0418
Voltaic,2020-04,355000,Sponsorship,0.0383
Voltaic,2020-05,100000,TV Commercial,0.0442
Voltaic,2020-06,157000,Sponsorship,0.0403
Voltaic,2020-07,281000,Digital Ads,0.04
Voltaic,2020-08,156000,Dealership Event,0.0238
Voltaic,2020-09,82000,TV Commercial,0.0272
Voltaic,2020-10,141000,Sponsorship,0.0301
Voltaic,2020-11,397000,Dealership Event,0.0386
Voltaic,2020-12,287000,Digital Ads,0.0246
Voltaic,2021-01,109000,Digital Ads,0.0173
Voltaic,2021-02,259000,Digital Ads,0.0281
Voltaic,2021-03,420000,Digital Ads,0.0383
