month,region,fuel_price
2019-01,North,2.33
2019-01,South,2.22
2019-01,East,2.31
2019-01,West,2.84
2019-02,North,2.56
2019-02,South,2.45
2019-02,East,2.33
2019-02,West,2.87
2019-03,North,2.5
2019-03,South,2.45
2019-03,East,2.51
2019-03,West,2.73
2019-04,North,2.3
2019-04,South,2.22
2019-04,East,2.42
2019-04,West,2.74
2019-05,North,2.57
2019-05,South,2.39
2019-05,East,2.48
2019-05,West,2.8
2019-06,North,2.35
2019-06,South,2.4
2019-06,East,2.32
2019-06,West,2.94
2019-07,North,2.6
2019-07,South,2.47
2019-07,East,2.55
2019-07,West,2.93
2019-08,North,2.3
2019-08,South,2.24
2019-08,East,2.37
2019-08,West,2.78
2019-09,North,2.45
2019-09,South,2.41
2019-09,East,2.6
2019-09,West,2.84
2019-10,North,2.38
2019-10,South,2.19
2019-10,East,2.31
2019-10,West,2.91
2019-11,North,2.41
2019-11,South,2.42
2019-11,East,2.51
2019-11,West,2.73
2019-12,North,2.52
2019-12,South,2.39
2019-12,East,2.48
2019-12,West,2.74
2020-01,North,2.5
2020-01,South,2.27
2020-01,East,2.4
2020-01,West,2.91
2020-02,North,2.6
2020-02,South,2.29
2020-02,East,2.32
2020-02,West,2.75
2020-03,North,2.47
2020-03,South,2.25
2020-03,East,2.59
2020-03,West,2.92
2020-04,North,2.38
2020-04,South,2.42
2020-04,East,2.51
2020-04,West,2.81
2020-05,North,2.39
2020-05,South,2.32
2020-05,East,2.52
2020-05,West,2.67
2020-06,North,2.32
2020-06,South,2.42
2020-06,East,2.48
2020-06,West,2.77
2020-07,North,2.54
2020-07,South,2.26
2020-07,East,2.56
2020-07,West,2.89
2020-08,North,2.6
2020-08,South,2.37
2020-08,East,2.33
2020-08,West,2.71
2020-09,North,2.38
2020-09,South,2.27
2020-09,East,2.55
2020-09,West,2.79
2020-10,North,2.33
2020-10,South,2.36
2020-10,East,2.55
2020-10,West,2.94
2020-11,North,2.53
2020-11,South,2.37
2020-11,East,2.52
2020-11,West,2.79
2020-12,North,2.41
2020-12,South,2.43
2020-12,East,2.44
2020-12,West,2.71
2021-01,North,3.07
2021-01,South,3.0
2021-01,East,2.95
2021-01,West,3.52
2021-02,North,3.13
2021-02,South,3.06
2021-02,East,3.03
2021-02,West,3.57
2021-03,North,2.98
2021-03,South,2.86
2021-03,East,3.03
2021-03,West,3.54
2021-04,North,3.03
2021-04,South,2.81
2021-04,East,3.09
2021-04,West,3.7
2021-05,North,3.23
2021-05,South,2.95
2021-05,East,3.15
2021-05,West,3.47
2021-06,North,3.13
2021-06,South,3.08
2021-06,East,3.18
2021-06,West,3.61
2021-07,North,3.1
2021-07,South,3.09
2021-07,East,3.09
2021-07,West,3.57
2021-08,North,3.16
2021-08,South,3.05
2021-08,East,2.95
2021-08,West,3.64
2021-09,North,3.14
2021-09,South,2.84
2021-09,East,3.21
2021-09,West,3.58
2021-10,North,2.98
2021-10,South,3.06
2021-10,East,2.97
2021-10,West,3.66
2021-11,North,3.0
2021-11,South,3.02
2021-11,East,3.04
2021-11,West,3.42
2021-12,North,3.0
2021-12,South,2.8
2021-12,East,3.01
2021-12,West,3.54
2022-01,North,4.6
2022-01,South,4.41
2022-01,East,4.75
2022-01,West,5.43
2022-02,North,4.67
2022-02,South,4.37
2022-02,East,4.56
2022-02,West,5.49
2022-03,North,4.76
2022-03,South,4.42
2022-03,East,4.7
2022-03,West,5.43
2022-04,North,4.73
2022-04,South,4.29
2022-04,East,4.8
2022-04,West,5.44
2022-05,North,4.75
2022-05,South,4.36
2022-05,East,4.67
2022-05,West,5.35
2022-06,North,4.71
2022-06,South,4.53
2022-06,East,4.73
2022-06,West,5.23
2022-07,North,4.55
2022-07,South,4.35
2022-07,East,4.71
2022-07,West,5.42
2022-08,North,4.55
2022-08,South,4.3
2022-08,East,4.73
2022-08,West,5.36
2022-09,North,4.59
2022-09,South,4.4
2022-09,East,4.62
2022-09,West,5.25
2022-10,North,4.67
2022-10,South,4.31
2022-10,East,4.76
2022-10,West,5.41
2022-11,North,4.59
2022-11,South,4.41
2022-11,East,4.69
2022-11,West,5.2
2022-12,North,4.71
2022-12,South,4.3
2022-12,East,4.76
2022-12,West,5.44
2023-01,North,3.98
2023-01,South,3.71
2023-01,East,3.88
2023-01,West,4.46
2023-02,North,3.89
2023-02,South,3.61
2023-02,East,3.71
2023-02,West,4.36
2023-03,North,3.77
2023-03,South,3.76
2023-03,East,3.89
2023-03,West,4.46
2023-04,North,3.79
2023-04,South,3.52
2023-04,East,3.77
2023-04,West,4.54
2023-05,North,3.89
2023-05,South,3.69
2023-05,East,3.89
2023-05,West,4.29
2023-06,North,4.0
2023-06,South,3.77
2023-06,East,3.89
2023-06,West,4.56
2023-07,North,3.72
2023-07,South,3.77
2023-07,East,3.77
2023-07,West,4.56
2023-08,North,3.77
2023-08,South,3.81
2023-08,East,3.93
2023-08,West,4.51
2023-09,North,3.7
2023-09,South,3.76
2023-09,East,3.76
2023-09,West,4.34
2023-10,North,3.73
2023-10,South,3.63
2023-10,East,3.85
2023-10,West,4.35
2023-11,North,3.87
2023-11,South,3.71
2023-11,East,3.87
2023-11,West,4.54
2023-12,North,3.91
2023-12,South,3.69
2023-12,East,3.96
2023-12,West,4.39
