model_id,brand,category,fuel_type,launch_date,discontinuation_date
C1001,ApexMotors,Sedan,Gasoline,2019-03-01,2022-06-30
C1002,ApexMotors,SUV,Hybrid,2020-05-01,
C1003,ApexMotors,Sedan,Gasoline,2022-12-01,
C1004,ApexMotors,Sedan,Electric,2023-12-01,
C1005,ApexMotors,Hatchback,Gasoline,2023-10-01,
C1006,ApexMotors,EV,Electric,2021-08-01,
C1007,ApexMotors,Sedan,Gasoline,2017-02-01,
C1008,ApexMotors,EV,Electric,2018-08-01,
C1009,ApexMotors,SUV,Electric,2022-10-01,
C1010,ApexMotors,Sedan,Electric,2017-07-01,
C1011,ApexMotors,Luxury,Electric,2019-03-01,2023-06-30
C1012,ApexMotors,SUV,Electric,2023-02-01,
C1013,ApexMotors,Luxury,Electric,2023-04-01,
C1014,Voltaic,SUV,Electric,2017-02-01,2019-06-30
C1015,Voltaic,SUV,Electric,2022-05-01,
C1016,Voltaic,Luxury,Electric,2017-01-01,
C1017,Voltaic,Sedan,Electric,2022-01-01,
C1018,Voltaic,Hatchback,Electric,2021-06-01,
C1019,Voltaic,Luxury,Electric,2020-09-01,
C1020,Voltaic,Luxury,Electric,2022-06-01,
C1021,Voltaic,SUV,Electric,2017-04-01,
C1022,Voltaic,EV,Electric,2019-04-01,
C1023,Voltaic,Sedan,Electric,2018-08-01,
C1024,Voltaic,EV,Electric,2018-10-01,
C1025,Voltaic,EV,Electric,2017-03-01,
C1026,Luxus,Luxury,Gasoline,2019-05-01,
C1027,Luxus,Luxury,Electric,2023-01-01,
C1028,Luxus,Luxury,Hybrid,2021-12-01,
C1029,Luxus,Luxury,Hybrid,2020-08-01,
C1030,Luxus,Luxury,Hybrid,2019-04-01,
C1031,Luxus,Luxury,Electric,2018-09-01,
C1032,Luxus,Luxury,Hybrid,2018-02-01,2022-06-30
C1033,Luxus,Luxury,Hybrid,2022-04-01,
C1034,Luxus,Luxury,Hybrid,2019-10-01,
C1035,Luxus,Luxury,Gasoline,2020-01-01,
C1036,Luxus,Luxury,Electric,2019-11-01,
C1037,Luxus,Luxury,Electric,2022-02-01,
C1038,TerraAuto,EV,Electric,2018-03-01,2022-06-30
C1039,TerraAuto,Hatchback,Electric,2019-11-01,
C1040,TerraAuto,Hatchback,Hybrid,2020-11-01,
C1041,TerraAuto,Hatchback,Electric,2019-09-01,
C1042,TerraAuto,Luxury,Electric,2023-12-01,
C1043,TerraAuto,Hatchback,Hybrid,2019-02-01,
C1044,TerraAuto,Sedan,Gasoline,2022-06-01,
C1045,TerraAuto,Luxury,Gasoline,2021-12-01,
C1046,TerraAuto,EV,Electric,2017-05-01,2021-06-30
C1047,TerraAuto,SUV,Hybrid,2017-04-01,2021-06-30
C1048,TerraAuto,SUV,Hybrid,2018-09-01,2021-06-30
C1049,TerraAuto,Hatchback,Electric,2020-02-01,
C1050,TerraAuto,Sedan,Gasoline,2022-10-01,
C1051,Stratos,Hatchback,Hybrid,2019-06-01,
C1052,Stratos,Sedan,Hybrid,2022-10-01,
C1053,Stratos,SUV,Gasoline,2020-03-01,
C1054,Stratos,SUV,Hybrid,2023-08-01,
C1055,Stratos,Luxury,Electric,2023-11-01,
C1056,Stratos,Sedan,Gasoline,2021-11-01,
C1057,Stratos,Luxury,Electric,2017-04-01,
C1058,Stratos,EV,Electric,2022-04-01,
C1059,Stratos,Hatchback,Hybrid,2021-07-01,
C1060,Stratos,Sedan,Gasoline,2022-08-01,
C1061,Stratos,Hatchback,Gasoline,2021-02-01,
C1062,Stratos,EV,Electric,2017-11-01,
C1063,Stratos,EV,Electric,2018-09-01,
C1064,OmniCar,EV,Electric,2022-10-01,
C1065,OmniCar,SUV,Electric,2023-12-01,
C1066,OmniCar,Sedan,Electric,2019-01-01,
C1067,OmniCar,EV,Electric,2021-05-01,
C1068,OmniCar,EV,Electric,2022-06-01,
C1069,OmniCar,Hatchback,Gasoline,2019-01-01,
C1070,OmniCar,SUV,Hybrid,2017-11-01,2020-06-30
C1071,OmniCar,Sedan,Hybrid,2021-06-01,
C1072,OmniCar,Luxury,Electric,2020-03-01,
C1073,OmniCar,SUV,Hybrid,2022-07-01,
C1074,OmniCar,Sedan,Electric,2020-12-01,
C1075,OmniCar,Sedan,Hybrid,2018-09-01,
C1076,OmniCar,Hatchback,Hybrid,2023-06-01,
C1077,Zenith,Luxury,Hybrid,2017-12-01,
