dealership_id,region,month,conversion_rate,footfall,sales_growth
D101,North,2019-01,0.12,385,0.1088
D101,North,2019-02,0.12,376,0.0584
D101,North,2019-03,0.12,355,0.1454
D101,North,2019-04,0.12,368,0.0041
D101,North,2019-05,0.12,370,0.1299
D101,North,2019-06,0.12,400,-0.0278
D101,North,2019-07,0.12,390,0.1163
D101,North,2019-08,0.12,379,0.0798
D101,North,2019-09,0.12,398,0.0801
D101,North,2019-10,0.12,369,0.1274
D101,North,2019-11,0.12,362,-0.0285
D101,North,2019-12,0.12,379,0.057
D101,North,2020-01,0.0963,204,-0.0297
D101,North,2020-02,0.0621,196,0.1097
D101,North,2020-03,0.0874,192,0.0699
D101,North,2020-04,0.0844,200,0.1113
D101,North,2020-05,0.0957,204,0.0781
D101,North,2020-06,0.0674,186,0.0262
D101,North,2020-07,0.0736,188,-0.0351
D101,North,2020-08,0.065,190,0.1428
D101,North,2020-09,0.0718,187,0.0489
D101,North,2020-10,0.0924,197,-0.0446
D101,North,2020-11,0.0606,191,0.0476
D101,North,2020-12,0.0967,197,0.1078
D101,North,2021-01,0.0703,190,0.1013
D101,North,2021-02,0.0831,189,-0.0006
D101,North,2021-03,0.0723,195,
D101,North,2021-04,0.0845,180,0.0344
D101,North,2021-05,0.0799,199,0.083
D101,North,2021-06,0.0653,195,0.0842
D101,North,2021-07,0.072,185,0.0818
D101,North,2021-08,0.0715,198,0.1342
D101,North,2021-09,0.0736,186,0.0285
D101,North,2021-10,0.0743,190,0.1379
D101,North,2021-11,0.0849,182,0.026
D101,North,2021-12,0.0757,183,0.137
D101,North,2022-01,0.12,382,0.0062
D101,North,2022-02,0.12,357,0.1059
D101,North,2022-03,0.12,367,0.011
D101,North,2022-04,0.12,360,0.0115
D101,North,2022-05,0.12,394,0.0711
D101,North,2022-06,0.12,377,0.0202
D101,North,2022-07,0.12,350,0.0754
D101,North,2022-08,0.12,382,0.029
D101,North,2022-09,0.12,380,0.0016
D101,North,2022-10,0.12,390,-0.0487
D101,North,2022-11,0.12,359,-0.009
D101,North,2022-12,0.12,368,-0.0274
D101,North,2023-01,0.12,367,0.0402
D101,North,2023-02,0.12,355,-0.0013
D101,North,2023-03,0.12,350,0.0474
D101,North,2023-04,0.12,366,0.0876
D101,North,2023-05,0.12,386,-0.0082
D101,North,2023-06,0.12,371,0.0
D101,North,2023-07,0.12,365,0.1469
D101,North,2023-08,0.12,395,-0.036
D101,North,2023-09,0.12,387,0.118
D101,North,2023-10,0.12,399,0.0896
D101,North,2023-11,0.12,369,0.1115
D101,North,2023-12,0.12,351,0.0199
D102,East,2019-01,0.12,373,0.063
D102,East,2019-02,0.12,393,0.0318
D102,East,2019-03,0.12,381,0.066
D102,East,2019-04,0.12,386,-0.0369
D102,East,2019-05,0.12,379,-0.0313
D102,East,2019-06,0.12,387,-0.0061
D102,East,2019-07,0.12,384,0.013
D102,East,2019-08,0.12,383,-0.0164
D102,East,2019-09,0.12,393,0.1067
D102,East,2019-10,0.12,398,0.1388
D102,East,2019-11,0.12,400,-0.0329
D102,East,2019-12,0.12,362,-0.0391
D102,East,2020-01,0.0781,199,0.1194
D102,East,2020-02,0.0963,206,0.0618
D102,East,2020-03,0.0805,182,0.0336
D102,East,2020-04,0.0846,201,0.1288
D102,East,2020-05,0.09,188,0.069
D102,East,2020-06,0.0652,184,-0.0088
D102,East,2020-07,0.0985,188,-0.0308
D102,East,2020-08,0.0853,191,-0.0015
D102,East,2020-09,0.0891,205,-0.0046
D102,East,2020-10,0.0981,185,0.1475
D102,East,2020-11,0.0869,188,0.1034
D102,East,2020-12,0.0922,193,-0.0411
D102,East,2021-01,0.0967,185,0.1337
D102,East,2021-02,0.095,206,
D102,East,2021-03,0.0765,202,0.1178
D102,East,2021-04,0.088,206,0.1007
D102,East,2021-05,0.0964,182,-0.0459
D102,East,2021-06,0.0802,202,-0.034
D102,East,2021-07,0.0961,181,0.112
D102,East,2021-08,0.0702,201,0.0075
D102,East,2021-09,0.0962,181,0.106
