month,region,financing_approval_rate,avg_interest_rate
2019-01,North,0.8055,3.15
2019-01,South,0.7937,2.98
2019-01,East,0.8161,3.06
2019-01,West,0.7952,2.97
2019-02,North,0.7944,2.95
2019-02,South,0.8098,3.53
2019-02,East,0.8008,3.36
2019-02,West,0.8092,3.08
2019-03,North,0.8386,2.88
2019-03,South,0.8444,3.39
2019-03,East,0.8095,3.24
2019-03,West,0.7992,3.05
2019-04,North,0.8379,3.28
2019-04,South,0.839,3.57
2019-04,East,0.7995,2.84
2019-04,West,0.8369,3.2
2019-05,North,0.8248,3.57
2019-05,South,0.8281,3.46
2019-05,East,0.8144,3.37
2019-05,West,0.7909,3.26
2019-06,North,0.8104,3.31
2019-06,South,0.8008,3.51
2019-06,East,0.8341,3.56
2019-06,West,0.8027,2.94
2019-07,North,0.8053,2.88
2019-07,South,0.8397,2.88
2019-07,East,0.8167,2.99
2019-07,West,0.8447,2.93
2019-08,North,0.7927,3.52
2019-08,South,0.8282,3.51
2019-08,East,0.8272,2.95
2019-08,West,0.8467,2.8
2019-09,North,0.8261,3.6
2019-09,South,0.8208,3.39
2019-09,East,0.8205,3.54
2019-09,West,0.8363,3.55
2019-10,North,0.8059,3.09
2019-10,South,0.8354,3.04
2019-10,East,0.8085,3.31
2019-10,West,0.3001,3.2
2019-11,North,0.837,3.41
2019-11,South,0.8356,3.45
2019-11,East,0.8319,2.86
2019-11,West,0.7996,3.27
2019-12,North,0.802,3.55
2019-12,South,0.8277,3.27
2019-12,East,0.8305,3.22
2019-12,West,0.8142,3.18
2020-01,North,0.8274,2.81
2020-01,South,0.8183,3.27
2020-01,East,0.7961,2.88
2020-01,West,0.8246,3.6
2020-02,North,0.8081,3.51
2020-02,South,0.8128,3.56
2020-02,East,0.7961,3.17
2020-02,West,0.8068,3.42
2020-03,North,0.8478,3.1
2020-03,South,0.8024,3.46
2020-03,East,0.8042,3.1
2020-03,West,0.7968,3.59
2020-04,North,0.8121,3.44
2020-04,South,0.7983,3.59
2020-04,East,0.8158,3.2
2020-04,West,0.7998,3.19
2020-05,North,0.8339,3.0
2020-05,South,0.7906,3.06
2020-05,East,0.8295,2.82
2020-05,West,0.8022,3.25
2020-06,North,0.83,3.01
2020-06,South,0.7951,2.86
2020-06,East,0.7949,2.84
2020-06,West,0.8055,3.04
2020-07,North,0.8312,3.6
2020-07,South,0.8253,2.88
2020-07,East,0.8013,3.51
2020-07,West,0.7941,2.95
2020-08,North,0.8223,3.44
2020-08,South,0.835,3.42
2020-08,East,0.8199,2.82
2020-08,West,0.8286,3.17
2020-09,North,0.8016,3.02
2020-09,South,0.8065,2.93
2020-09,East,0.7936,3.34
2020-09,West,0.7965,3.3
2020-10,North,0.8075,3.43
2020-10,South,0.7979,3.29
2020-10,East,0.8319,3.19
2020-10,West,0.837,2.92
2020-11,North,0.8332,3.36
2020-11,South,0.7915,3.15
2020-11,East,0.8044,3.55
2020-11,West,0.834,3.04
2020-12,North,0.8468,3.27
2020-12,South,0.8003,2.84
2020-12,East,0.8021,2.82
2020-12,West,0.8134,3.6
2021-01,North,0.8474,3.2
2021-01,South,0.846,3.02
2021-01,East,0.8152,3.21
2021-01,West,0.8482,3.1
2021-02,North,0.8438,3.02
2021-02,South,0.8429,3.5
2021-02,East,0.7933,3.17
2021-02,West,0.8108,3.06
2021-03,North,0.8,3.31
2021-03,South,0.8356,2.81
2021-03,East,0.838,3.23
2021-03,West,0.7988,3.35
2021-04,North,0.8309,2.81
2021-04,South,0.7905,3.18
2021-04,East,0.8231,3.38
2021-04,West,0.8279,3.14
2021-05,North,0.799,3.29
2021-05,South,0.8208,2.9
2021-05,East,0.8023,3.3
2021-05,West,0.8392,3.46
2021-06,North,0.833,3.52
2021-06,South,0.7986,2.93
2021-06,East,0.7943,2.91
2021-06,West,0.7935,3.11
2021-07,North,0.8287,3.22
2021-07,South,0.825,3.41
2021-07,East,0.8302,3.23
2021-07,West,0.8311,2.93
2021-08,North,0.8464,2.94
2021-08,South,0.8492,3.4
2021-08,East,0.8167,3.27
2021-08,West,0.836,3.37
2021-09,North,0.8449,2.92
2021-09,South,0.8168,3.31
2021-09,East,0.8467,3.05
2021-09,West,0.8056,2.86
2021-10,North,0.8054,3.46
2021-10,South,0.8329,3.18
2021-10,East,0.8445,3.59
2021-10,West,0.8495,3.31
2021-11,North,0.7999,3.42
2021-11,South,0.831,3.07
2021-11,East,0.8195,2.83
2021-11,West,0.8289,3.44
2021-12,North,0.8163,3.43
2021-12,South,0.8341,2.98
2021-12,East,0.8494,3.51
2021-12,West,0.8289,2.8
2022-01,North,0.6371,6.4
2022-01,South,0.6248,7.16
2022-01,East,0.6373,7.01
2022-01,West,0.6343,6.82
2022-02,North,0.6347,6.98
2022-02,South,0.5936,7.07
2022-02,East,0.5927,6.58
2022-02,West,0.5822,6.87
2022-03,North,0.6395,6.98
2022-03,South,0.6269,7.17
2022-03,East,0.6239,6.75
2022-03,West,0.6257,6.77
2022-04,North,0.6363,6.54
2022-04,South,0.6246,6.5
2022-04,East,0.6179,6.77
2022-04,West,0.6328,6.83
2022-05,North,0.5896,6.68
2022-05,South,0.5997,7.0
2022-05,East,0.5947,6.76
2022-05,West,0.5847,6.52
2022-06,North,0.6366,6.95
2022-06,South,0.6183,6.76
2022-06,East,0.6076,6.71
2022-06,West,0.5867,6.6
2022-07,North,0.5982,6.76
2022-07,South,0.6274,6.95
2022-07,East,0.5825,6.85
2022-07,West,0.6221,7.16
2022-08,North,0.6338,6.79
2022-08,South,0.5941,6.81
2022-08,East,0.639,7.18
2022-08,West,0.6205,6.51
2022-09,North,0.5806,7.18
2022-09,South,0.6339,6.64
2022-09,East,0.6268,7.18
2022-09,West,0.5811,7.03
2022-10,North,0.5916,6.89
2022-10,South,0.6366,6.58
2022-10,East,0.6022,6.55
2022-10,West,0.595,7.06
2022-11,North,0.6359,6.49
2022-11,South,0.5817,7.04
2022-11,East,0.6109,6.84
2022-11,West,0.6127,7.13
2022-12,North,0.6221,6.83
2022-12,South,0.6077,7.19
2022-12,East,0.615,6.54
2022-12,West,0.5823,6.78
2023-01,North,0.5641,7.53
2023-01,South,0.6006,7.33
2023-01,East,0.5556,7.5
2023-01,West,0.5666,6.94
2023-02,North,0.5749,7.17
2023-02,South,0.5634,6.83
2023-02,East,0.554,7.11
2023-02,West,0.5736,7.01
2023-03,North,0.5919,7.32
2023-03,South,0.6008,7.4
2023-03,East,0.5664,7.02
2023-03,West,0.5549,7.24
2023-04,North,0.56,7.01
2023-04,South,0.5701,6.94
2023-04,East,0.5561,6.81
2023-04,West,0.5797,6.84
2023-05,North,0.6013,7.04
2023-05,South,0.5939,6.93
2023-05,East,0.5608,7.54
2023-05,West,0.5595,7.47
2023-06,North,0.5601,7.47
2023-06,South,0.606,7.38
2023-06,East,0.6019,6.99
2023-06,West,0.5541,6.98
2023-07,North,0.564,7.57
2023-07,South,0.5954,7.17
2023-07,East,0.5779,7.15
2023-07,West,0.5805,7.32
2023-08,North,0.5613,6.82
2023-08,South,0.6051,7.56
2023-08,East,0.5672,7.53
2023-08,West,0.5729,6.85
2023-09,North,0.5888,7.01
2023-09,South,0.5857,7.43
2023-09,East,0.5674,7.14
2023-09,West,0.5869,7.43
2023-10,North,0.5788,7.41
2023-10,South,0.5695,7.41
2023-10,East,0.6048,7.28
2023-10,West,0.5551,7.53
2023-11,North,0.601,6.83
2023-11,South,0.6026,6.99
2023-11,East,0.6088,7.21
2023-11,West,0.5884,6.96
2023-12,North,0.5907,7.23
2023-12,South,0.5612,7.53
2023-12,East,0.5875,7.21
2023-12,West,0.5597,7.34
