model_id,month,units_sold,avg_price,dealership_count,revenue
C1007,2019-01,135,25276,19,3412260
C1008,2019-01,56,50723,13,2840488
C1010,2019-01,237,25627,17,6073599
C1014,2019-01,217,35720,10,7751240
C1016,2019-01,56,76255,22,4270280
C1021,2019-01,214,35910,20,7684740
C1023,2019-01,160,25398,13,4063680
C1024,2019-01,50,50196,14,2509800
C1025,2019-01,90,51157,8,4604130
C1031,2019-01,33,75396,10,2488068
C1032,2019-01,30,75488,25,2264640
C1038,2019-01,62,50259,20,3116058
C1046,2019-01,80,51104,14,4088320
C1047,2019-01,112,35836,24,4013632
C1048,2019-01,119,35511,13,4225809
C1057,2019-01,54,75571,11,4080834
C1062,2019-01,74,50087,16,3706438
C1063,2019-01,52,50811,24,2642172
C1066,2019-01,142,25685,20,3647270
C1069,2019-01,176,18431,22,3243856
C1070,2019-01,116,36020,23,4178320
C1075,2019-01,134,25037,14,3354958
C1077,2019-01,30,75180,23,2255400
C1082,2019-01,172,18288,16,3145536
C1085,2019-01,320,18385,20,5883200
C1086,2019-01,257,18053,17,4639621
C1089,2019-01,200,25381,16,5076200
C1093,2019-01,31,76776,18,2380056
C1094,2019-01,55,51404,25,2827220
C1095,2019-01,28,76426,14,2139928
C1100,2019-01,269,18025,22,4848725
C1007,2019-02,137,25339,23,3471443
C1008,2019-02,55,50708,18,2788940
C1010,2019-02,234,25186,11,5893524
C1014,2019-02,230,35498,19,8164540
C1016,2019-02,56,76820,18,4301920
C1021,2019-02,102,35573,18,3628446
C1023,2019-02,168,25111,20,4218648
C1024,2019-02,53,50016,22,2650848
C1025,2019-02,87,50006,21,4350522
C1031,2019-02,33,75672,9,2497176
C1032,2019-02,28,75306,11,2108568
C1038,2019-02,66,50599,17,3339534
C1043,2019-02,176,18164,8,3196864
C1046,2019-02,86,51415,19,4421690
C1047,2019-02,114,35870,24,4089180
C1048,2019-02,113,36029,16,4071277
C1057,2019-02,54,76883,20,4151682
C1062,2019-02,70,50351,19,3524570
C1063,2019-02,57,50450,24,2875650
C1066,2019-02,146,25694,9,3751324
C1069,2019-02,171,18520,23,3166920
C1070,2019-02,110,35888,15,3947680
C1075,2019-02,136,25365,14,3449640
C1077,2019-02,27,77090,10,2081430
C1082,2019-02,180,18363,16,3305340
C1085,2019-02,321,18407,16,5908647
C1086,2019-02,262,18413,21,4824206
C1089,2019-02,197,25454,19,5014438
C1090,2019-02,145,25665,23,3721425
C1093,2019-02,32,75958,21,2430656
C1094,2019-02,59,50117,25,2956903
C1095,2019-02,30,76245,17,2287350
C1100,2019-02,274,18097,23,4958578
C1001,2019-03,127,25573,17,3247771
C1007,2019-03,123,25357,22,3118911
C1008,2019-03,51,51192,18,2610792
