campaign_id,month,platform,ctr,impressions
CAMP_2019_1,2019-01,Google,0.0212,856000
CAMP_2019_1,2019-02,Meta,0.0362,603000
CAMP_2019_1,2019-03,Pinterest,0.0262,125000
CAMP_2019_1,2019-04,Google,0.0286,1209000
CAMP_2019_1,2019-05,Pinterest,0.0164,837000
CAMP_2019_1,2019-06,Google,0.0327,255000
CAMP_2019_2,2019-01,Google,0.0415,1217000
CAMP_2019_2,2019-02,Google,0.0388,696000
CAMP_2019_2,2019-03,Meta,0.0164,1114000
CAMP_2019_2,2019-04,Meta,0.0176,617000
CAMP_2019_2,2019-05,Meta,0.0212,1468000
CAMP_2019_2,2019-06,Google,0.021,682000
CAMP_2019_3,2019-01,Pinterest,0.0296,1124000
CAMP_2019_3,2019-02,Pinterest,0.0424,396000
CAMP_2019_3,2019-03,Meta,0.0182,307000
CAMP_2019_3,2019-04,Pinterest,0.0408,882000
CAMP_2019_3,2019-05,Pinterest,0.0339,856000
CAMP_2019_3,2019-06,Meta,0.0426,1343000
CAMP_2019_4,2019-01,Google,0.0212,727000
CAMP_2019_4,2019-02,Google,0.0206,597000
CAMP_2019_4,2019-03,Pinterest,0.0308,511000
CAMP_2019_4,2019-04,Meta,0.032,223000
CAMP_2019_4,2019-05,Google,0.0287,1017000
CAMP_2019_4,2019-06,Google,0.0408,1063000
CAMP_2019_5,2019-01,TikTok,0.03,1234000
CAMP_2019_5,2019-02,Pinterest,0.0405,1362000
CAMP_2019_5,2019-03,Google,0.0355,1321000
CAMP_2019_5,2019-04,TikTok,0.0411,1351000
CAMP_2019_5,2019-05,TikTok,0.0162,110000
CAMP_2019_5,2019-06,TikTok,0.0398,651000
CAMP_2019_6,2019-01,Pinterest,0.0188,331000
CAMP_2019_6,2019-02,Meta,0.0185,1335000
CAMP_2019_6,2019-03,TikTok,0.0446,1384000
CAMP_2019_6,2019-04,TikTok,0.0135,1385000
CAMP_2019_6,2019-05,Meta,0.0187,974000
CAMP_2019_6,2019-06,Pinterest,0.0161,722000
CAMP_2020_1,2020-01,Meta,0.0175,512000
CAMP_2020_1,2020-02,Meta,0.041,1494000
CAMP_2020_1,2020-03,Meta,0.0229,215000
CAMP_2020_1,2020-04,Google,0.018,525000
CAMP_2020_1,2020-05,Google,0.0278,346000
CAMP_2020_1,2020-06,Meta,0.0192,1166000
CAMP_2020_2,2020-01,Google,,948000
CAMP_2020_2,2020-02,Pinterest,0.0436,499000
CAMP_2020_2,2020-03,Meta,0.0351,941000
CAMP_2020_2,2020-04,Meta,0.0261,862000
