month,region,avg_shipping_cost
2019-01,North,4.31
2019-01,South,4.44
2019-01,East,4.28
2019-01,West,5.39
2019-02,North,4.57
2019-02,South,4.67
2019-02,East,4.32
2019-02,West,5.76
2019-03,North,4.38
2019-03,South,4.69
2019-03,East,4.55
2019-03,West,5.48
2019-04,North,4.48
2019-04,South,4.37
2019-04,East,4.74
2019-04,West,5.44
2019-05,North,4.69
2019-05,South,4.47
2019-05,East,4.4
2019-05,West,5.38
2019-06,North,4.3
2019-06,South,4.35
2019-06,East,4.71
2019-06,West,5.65
2019-07,North,4.43
2019-07,South,4.71
2019-07,East,4.52
2019-07,West,5.47
2019-08,North,4.75
2019-08,South,4.42
2019-08,East,4.35
2019-08,West,5.66
2019-09,North,4.34
2019-09,South,4.7
2019-09,East,4.69
2019-09,West,5.67
2019-10,North,4.43
2019-10,South,4.27
2019-10,East,4.48
2019-10,West,5.87
2019-11,North,4.55
2019-11,South,4.51
2019-11,East,4.6
2019-11,West,5.82
2019-12,North,4.62
2019-12,South,4.38
2019-12,East,4.42
2019-12,West,5.59
2020-01,North,4.63
2020-01,South,4.52
2020-01,East,4.54
2020-01,West,5.38
2020-02,North,4.35
2020-02,South,4.7
2020-02,East,4.66
2020-02,West,5.84
2020-03,North,4.34
2020-03,South,4.57
2020-03,East,4.49
2020-03,West,5.78
2020-04,North,4.36
2020-04,South,4.47
2020-04,East,4.5
2020-04,West,5.43
2020-05,North,4.47
2020-05,South,4.59
2020-05,East,4.74
2020-05,West,5.43
2020-06,North,4.51
2020-06,South,4.64
2020-06,East,4.47
2020-06,West,5.63
2020-07,North,4.42
2020-07,South,4.4
2020-07,East,4.44
2020-07,West,5.66
2020-08,North,4.5
2020-08,South,4.4
2020-08,East,4.73
2020-08,West,5.72
2020-09,North,4.52
2020-09,South,4.34
2020-09,East,4.46
2020-09,West,5.41
2020-10,North,4.45
2020-10,South,4.69
2020-10,East,4.49
2020-10,West,5.53
2020-11,North,4.65
2020-11,South,4.54
2020-11,East,4.49
2020-11,West,5.71
2020-12,North,4.27
2020-12,South,4.37
2020-12,East,4.27
2020-12,West,5.72
2021-01,North,5.8
2021-01,South,5.99
2021-01,East,5.64
2021-01,West,15.35
2021-02,North,5.98
2021-02,South,5.61
2021-02,East,5.93
2021-02,West,7.43
2021-03,North,5.7
2021-03,South,5.79
2021-03,East,5.55
2021-03,West,7.06
2021-04,North,5.62
2021-04,South,5.56
2021-04,East,5.83
2021-04,West,7.17
2021-05,North,5.84
2021-05,South,5.73
2021-05,East,5.77
2021-05,West,7.19
2021-06,North,6.04
2021-06,South,5.72
2021-06,East,5.92
2021-06,West,7.4
2021-07,North,5.62
2021-07,South,5.87
2021-07,East,5.78
2021-07,West,7.35
2021-08,North,5.99
2021-08,South,5.82
2021-08,East,5.64
2021-08,West,7.37
2021-09,North,5.74
2021-09,South,5.56
2021-09,East,5.72
2021-09,West,7.35
2021-10,North,5.72
2021-10,South,5.89
2021-10,East,5.78
2021-10,West,7.14
2021-11,North,5.89
2021-11,South,5.97
2021-11,East,5.93
2021-11,West,7.45
2021-12,North,5.72
2021-12,South,5.93
2021-12,East,5.77
2021-12,West,7.31
2022-01,North,8.77
2022-01,South,9.0
2022-01,East,9.02
2022-01,West,21.94
2022-02,North,8.76
2022-02,South,9.0
2022-02,East,8.88
2022-02,West,11.33
2022-03,North,8.7
2022-03,South,9.06
2022-03,East,9.09
2022-03,West,11.19
2022-04,North,9.03
2022-04,South,8.94
2022-04,East,9.03
2022-04,West,10.99
2022-05,North,8.72
2022-05,South,9.07
2022-05,East,8.96
2022-05,West,11.36
2022-06,North,8.7
2022-06,South,9.05
2022-06,East,9.13
2022-06,West,11.18
2022-07,North,8.99
2022-07,South,9.01
2022-07,East,9.09
2022-07,West,10.96
2022-08,North,8.68
2022-08,South,8.71
2022-08,East,9.04
2022-08,West,11.27
2022-09,North,9.05
2022-09,South,8.72
2022-09,East,9.06
2022-09,West,11.09
2022-10,North,8.92
2022-10,South,8.85
2022-10,East,8.78
2022-10,West,11.05
2022-11,North,8.87
2022-11,South,8.94
2022-11,East,9.15
2022-11,West,11.15
2022-12,North,8.83
2022-12,South,19.31
2022-12,East,9.11
2022-12,West,11.14
2023-01,North,7.12
2023-01,South,6.91
2023-01,East,6.99
2023-01,West,9.12
2023-02,North,7.3
2023-02,South,7.26
2023-02,East,7.06
2023-02,West,8.74
2023-03,North,7.11
2023-03,South,6.92
2023-03,East,7.34
2023-03,West,8.66
2023-04,North,6.85
2023-04,South,6.91
2023-04,East,6.96
2023-04,West,9.07
2023-05,North,6.95
2023-05,South,6.88
2023-05,East,7.08
2023-05,West,9.03
2023-06,North,7.12
2023-06,South,6.98
2023-06,East,7.1
2023-06,West,9.09
2023-07,North,7.06
2023-07,South,7.32
2023-07,East,7.19
2023-07,West,8.69
2023-08,North,6.89
2023-08,South,6.93
2023-08,East,7.3
2023-08,West,8.68
2023-09,North,7.13
2023-09,South,7.08
2023-09,East,7.23
2023-09,West,8.7
2023-10,North,7.17
2023-10,South,7.27
2023-10,East,7.28
2023-10,West,8.79
2023-11,North,6.85
2023-11,South,7.2
2023-11,East,6.89
2023-11,West,8.93
2023-12,North,6.95
2023-12,South,7.18
2023-12,East,6.97
2023-12,West,8.77
