month,repeat_purchase_rate,churn_rate,avg_session_duration
2019-01,0.248,0.1093,8.5
2019-02,0.238,0.1318,8.5
2019-03,0.2056,0.1134,8.5
2019-04,0.2463,0.1343,8.5
2019-05,0.2105,0.106,8.5
2019-06,0.2473,0.1284,8.5
2019-07,0.2028,0.1157,8.5
2019-08,0.2368,0.1303,8.5
2019-09,0.2138,0.1297,8.5
2019-10,0.2433,0.1094,8.5
2019-11,0.2221,0.1263,8.5
2019-12,0.2226,0.1236,8.5
2020-01,0.246,0.0587,14.5
2020-02,0.2137,0.0828,13.2
2020-03,0.2482,0.0592,14.5
2020-04,0.2064,0.0601,13.3
2020-05,0.2303,0.063,13.3
2020-06,0.2254,0.0822,13.5
2020-07,0.2493,0.069,14.9
2020-08,0.2237,0.0639,14.2
2020-09,0.2361,0.0763,15.6
2020-10,0.2101,0.0657,15.3
2020-11,0.2042,0.0602,14.4
2020-12,0.2041,0.0813,14.9
2021-01,0.2007,0.065,13.5
2021-02,0.246,0.0782,15.1
2021-03,0.2234,0.0824,13.6
2021-04,0.2034,0.0587,15.1
2021-05,0.2381,0.0727,15.5
2021-06,0.2139,0.0798,13.4
2021-07,0.2439,0.0669,14.6
2021-08,0.2313,0.0802,13.7
2021-09,0.2236,0.0748,15.3
2021-10,0.2364,0.0805,15.6
2021-11,0.2249,0.0692,13.9
2021-12,0.2314,0.079,13.9
2022-01,0.3739,0.1315,8.5
2022-02,0.3856,0.1306,8.5
2022-03,0.344,0.1145,8.5
2022-04,0.3779,0.1108,8.5
2022-05,0.3609,0.1254,8.5
2022-06,0.3643,0.135,8.5
2022-07,0.3804,0.1081,8.5
2022-08,0.3759,0.1172,8.5
2022-09,0.3526,0.1081,8.5
2022-10,0.3831,0.1094,8.5
2022-11,0.3768,0.1104,8.5
2022-12,0.3476,0.1219,8.5
2023-01,0.3609,0.1117,8.5
2023-02,0.3548,0.1199,8.5
2023-03,0.3834,0.1244,8.5
2023-04,0.364,0.1219,8.5
2023-05,0.3899,0.1304,8.5
2023-06,0.3887,0.1178,8.5
2023-07,0.3895,0.1188,8.5
2023-08,0.3765,0.1271,8.5
2023-09,0.3412,0.1339,8.5
2023-10,0.3863,0.1149,8.5
2023-11,0.3765,0.116,8.5
2023-12,0.3895,0.1162,8.5
