product_id,month,orders_count,avg_order_value,revenue,return_rate
P5001,2019-01,87,146.52,12747.1,0.1068
P5002,2019-01,82,145.6,11939.0,0.0819
P5003,2019-01,86,147.49,12683.92,0.0763
P5009,2019-01,82,146.19,11987.82,0.1051
P5012,2019-01,81,149.93,12144.65,0.0893
P5014,2019-01,90,154.2,13877.79,0.0917
P5017,2019-01,91,152.08,13839.29,0.0721
P5020,2019-01,89,148.73,13237.18,0.0853
P5024,2019-01,87,152.37,13255.98,0.0622
P5025,2019-01,124,40.14,4977.35,0.1741
P5033,2019-01,111,41.09,4560.5,0.1637
P5040,2019-01,122,45.66,5570.99,0.1966
P5042,2019-01,110,43.85,4823.71,0.2062
P5043,2019-01,267,45.56,12163.43,0.2034
P5046,2019-01,113,43.82,4951.37,0.202
P5049,2019-01,101,58.65,5923.58,0.0669
P5051,2019-01,103,56.46,5815.87,0.0869
P5052,2019-01,94,57.81,5434.11,0.0741
P5056,2019-01,98,60.85,5963.59,0.0943
P5057,2019-01,92,63.72,5862.49,0.0741
P5061,2019-01,95,64.08,6087.75,0.1008
P5063,2019-01,94,59.11,5555.89,0.0651
P5065,2019-01,102,56.11,5723.58,0.104
P5066,2019-01,90,62.1,5588.79,0.1077
P5067,2019-01,103,55.79,5746.68,0.098
P5068,2019-01,96,59.32,5695.04,0.0714
P5073,2019-01,94,61.55,5785.59,0.1033
P5074,2019-01,100,62.32,6232.43,0.1039
P5076,2019-01,91,59.01,5369.92,0.1051
P5077,2019-01,97,64.02,6209.59,0.0601
P5078,2019-01,103,58.19,5994.02,0.1025
P5086,2019-01,93,59.06,5492.28,0.0999
P5089,2019-01,97,63.15,6125.31,0.0965
P5091,2019-01,94,63.67,5985.42,0.0872
P5092,2019-01,96,57.66,5535.33,0.0819
P5096,2019-01,98,63.12,6185.53,0.0846
P5097,2019-01,94,64.42,6055.02,0.0645
P5099,2019-01,101,59.15,5974.62,0.0733
P5106,2019-01,98,64.22,6293.85,0.1027
P5110,2019-01,95,61.93,5883.24,0.0747
P5118,2019-01,103,55.42,5708.66,0.0948
P5001,2019-02,90,154.74,13926.27,0.1006
P5002,2019-02,83,151.32,12559.62,0.0952
P5003,2019-02,89,145.1,12914.21,0.0603
P5009,2019-02,87,151.44,13175.6,0.0788
P5012,2019-02,88,148.07,13030.54,0.0649
P5014,2019-02,85,153.25,13026.25,0.0791
P5017,2019-02,91,153.58,13975.48,0.0905
P5020,2019-02,80,152.17,12173.77,0.0695
P5024,2019-02,83,152.75,12678.16,0.0693
P5025,2019-02,123,49.86,6132.32,0.1623
P5033,2019-02,115,44.94,5168.56,0.1848
