region,month,mobile_conversion_rate,desktop_conversion_rate,revenue
North,2019-01,0.4375,0.38,1403818.96
South,2019-01,0.4191,0.38,1096936.16
East,2019-01,0.4059,0.38,1138767.33
West,2019-01,0.441,0.38,1080057.38
North,2019-02,0.4433,0.38,1489887.44
South,2019-02,0.4439,0.38,1090619.96
East,2019-02,0.4248,0.38,1089590.69
West,2019-02,0.4012,0.38,1132093.49
North,2019-03,0.4186,0.38,1506947.36
South,2019-03,0.4369,0.38,1104799.3
East,2019-03,0.4215,0.38,1127847.67
West,2019-03,0.4491,0.38,1094313.52
North,2019-04,0.4263,0.38,1453404.42
South,2019-04,0.4243,0.38,1132240.57
East,2019-04,0.4241,0.38,1148934.08
West,2019-04,0.4235,0.38,1163527.36
North,2019-05,0.4356,0.38,1438983.05
South,2019-05,0.4454,0.38,1114784.6
East,2019-05,0.4116,0.38,1145586.11
West,2019-05,0.4445,0.38,1132888.63
North,2019-06,0.417,0.38,1406693.56
South,2019-06,0.4107,0.38,1116871.95
East,2019-06,0.4448,0.38,1111985.99
West,2019-06,0.428,0.38,1114585.84
North,2019-07,0.4058,0.38,1511961.79
South,2019-07,0.4192,0.38,1100496.14
East,2019-07,0.4325,0.38,1085988.66
West,2019-07,0.4324,0.38,1165552.49
North,2019-08,0.4121,0.38,1513236.28
South,2019-08,0.4126,0.38,1171663.06
East,2019-08,0.4099,0.38,1099131.82
West,2019-08,0.4317,0.38,1141602.4
North,2019-09,0.4076,0.38,1491806.11
South,2019-09,0.4224,0.38,1181389.22
East,2019-09,0.4477,0.38,1097385.73
West,2019-09,0.4035,0.38,1127626.15
North,2019-10,0.4296,0.38,1458854.49
South,2019-10,0.4059,0.38,1112293.02
East,2019-10,0.4379,0.38,1128411.17
West,2019-10,0.4022,0.38,1139675.1
North,2019-11,0.4,0.38,1421974.15
South,2019-11,0.4481,0.38,1082141.06
East,2019-11,0.4197,0.38,1123531.74
West,2019-11,0.4389,0.38,1134949.03
North,2019-12,0.4033,0.38,1442889.23
South,2019-12,0.4032,0.38,1177144.12
East,2019-12,0.4398,0.38,1153616.32
West,2019-12,0.4469,0.38,1107750.15
North,2020-01,0.5781,0.38,2612056.61
South,2020-01,0.5851,0.38,2000326.81
East,2020-01,0.5644,0.38,1992340.22
West,2020-01,0.584,0.38,2019268.93
North,2020-02,0.579,0.38,2436148.5
South,2020-02,0.597,0.38,1913696.6
East,2020-02,0.595,0.38,2060839.85
West,2020-02,0.6098,0.38,1921493.69
North,2020-03,0.5912,0.38,2582474.41
South,2020-03,0.5893,0.38,1915241.36
East,2020-03,0.5931,0.38,1902177.09
West,2020-03,0.6046,0.38,1964340.52
North,2020-04,0.571,0.38,2570391.18
South,2020-04,0.5945,0.38,2065946.82
East,2020-04,0.5898,0.38,2054930.21
West,2020-04,0.5758,0.38,1930854.51
North,2020-05,0.6099,0.38,2554311.9
South,2020-05,0.586,0.38,1981627.62
East,2020-05,0.6041,0.38,1898888.24
West,2020-05,0.5901,0.38,1996191.75
North,2020-06,0.5615,0.38,2573575.11
South,2020-06,0.564,0.38,1937260.07
East,2020-06,0.5866,0.38,2071704.08
West,2020-06,0.6052,0.38,1948017.71
North,2020-07,0.5943,0.38,2517111.86
South,2020-07,0.5813,0.38,2042513.95
East,2020-07,0.5681,0.38,2023432.48
West,2020-07,0.5768,0.38,1985011.18
North,2020-08,0.5789,0.38,2563222.88
South,2020-08,0.5835,0.38,1920196.78
East,2020-08,0.5933,0.38,1961977.32
West,2020-08,0.5774,0.38,2048956.45
North,2020-09,0.5942,0.38,2514920.56
South,2020-09,0.6058,0.38,1997145.81
East,2020-09,0.5607,0.38,2019446.62
West,2020-09,0.6053,0.38,1999223.91
North,2020-10,0.5678,0.38,2571417.46
South,2020-10,0.6047,0.38,1924445.84
East,2020-10,0.5756,0.38,1921052.81
West,2020-10,0.6059,0.38,1986030.9
North,2020-11,0.6096,0.38,2444510.62
South,2020-11,0.5677,0.38,2005137.93
East,2020-11,0.5621,0.38,1980623.67
West,2020-11,0.5658,0.38,2002642.59
North,2020-12,0.5849,0.38,2538216.47
South,2020-12,0.5728,0.38,1983395.81
East,2020-12,0.5792,0.38,2054858.42
West,2020-12,0.6023,0.38,1954125.27
North,2021-01,0.594,0.2878,2595005.26
South,2021-01,0.5751,0.2804,1899719.06
East,2021-01,0.5802,0.2604,1955292.09
West,2021-01,0.5849,0.2837,2023965.56
North,2021-02,0.5809,0.2779,2629733.5
South,2021-02,0.5808,0.278,1942703.48
East,2021-02,0.5716,0.2851,2045104.04
West,2021-02,0.5706,0.2654,1945185.79
North,2021-03,0.5949,0.2928,2535220.96
South,2021-03,0.5801,0.273,1905325.99
East,2021-03,0.6002,0.2832,1944195.35
West,2021-03,0.5889,0.2727,1955002.19
North,2021-04,0.5743,0.2808,2524859.96
South,2021-04,0.5906,0.2661,1952412.33
East,2021-04,0.6027,0.2636,1904322.24
West,2021-04,0.6019,0.2988,2039639.49
North,2021-05,0.5824,0.2823,2609464.32
South,2021-05,0.5888,0.281,2071054.31
East,2021-05,0.5669,0.2681,1989760.16
West,2021-05,0.5649,0.2626,2032622.73
North,2021-06,0.5646,0.2648,2620733.66
South,2021-06,0.5627,0.2972,1929230.21
East,2021-06,0.599,0.2613,1985413.47
West,2021-06,0.5878,0.2891,2028548.36
North,2021-07,0.5819,0.2888,2519884.9
South,2021-07,0.6027,0.2739,2008818.68
East,2021-07,0.5761,0.2943,1893922.98
West,2021-07,0.5925,0.2975,2072196.05
North,2021-08,0.5717,0.2842,2417275.89
South,2021-08,0.5694,0.2782,1894621.1
East,2021-08,0.587,0.2901,1971867.49
West,2021-08,0.5875,0.2671,2043164.12
North,2021-09,0.5613,0.2677,2580156.69
South,2021-09,0.6003,0.2821,2077659.25
East,2021-09,0.5933,0.2856,1946567.31
West,2021-09,0.5933,0.2848,1967155.23
North,2021-10,0.5823,0.2871,2548500.32
South,2021-10,0.5942,0.2966,2012184.04
East,2021-10,0.5989,0.2907,2045423.71
West,2021-10,0.5803,0.295,1902077.47
North,2021-11,0.5732,0.2652,2654723.48
South,2021-11,0.5665,0.2767,2041301.23
East,2021-11,0.5906,0.2711,1904845.33
West,2021-11,0.5671,0.2773,1937704.71
North,2021-12,0.6076,0.2684,2484165.07
South,2021-12,0.5993,0.2794,2053209.63
East,2021-12,0.5953,0.2662,1939674.01
West,2021-12,0.5943,0.2698,2065389.29
North,2022-01,0.7401,0.2985,1412582.04
South,2022-01,0.7308,0.2697,1081593.98
East,2022-01,0.7566,0.2924,1097029.97
West,2022-01,0.7588,0.2963,1152966.82
North,2022-02,0.7351,0.2674,1396587.09
South,2022-02,0.75,0.2755,1097304.51
East,2022-02,0.7602,0.2904,1141302.01
West,2022-02,0.7462,0.2727,1122632.56
North,2022-03,0.7484,0.2606,1488805.07
South,2022-03,0.731,0.2683,1111043.2
East,2022-03,0.7277,0.2703,1166690.09
West,2022-03,0.7666,0.271,1081666.16
North,2022-04,0.7213,0.2997,1496165.94
South,2022-04,0.755,0.2796,1157714.68
East,2022-04,0.744,0.273,1129872.87
West,2022-04,0.7694,0.2849,1086880.26
North,2022-05,0.736,0.2875,1386542.54
South,2022-05,0.7617,0.2804,1148005.94
East,2022-05,0.732,0.2812,1129076.95
West,2022-05,0.7442,0.2747,1108991.26
North,2022-06,0.7408,0.2789,1494245.44
South,2022-06,0.7639,0.2744,1123820.65
East,2022-06,0.7218,0.2901,1136084.2
West,2022-06,0.7683,0.2868,1133164.36
North,2022-07,0.7288,0.2853,1436160.82
South,2022-07,0.7236,0.2601,1150369.88
East,2022-07,0.7663,0.2838,1106690.37
West,2022-07,0.7229,0.2914,1178750.51
North,2022-08,0.7507,0.2928,1484335.54
South,2022-08,0.7252,0.2966,1110285.33
East,2022-08,0.7646,0.2785,1149064.76
West,2022-08,0.7458,0.2717,1169660.93
North,2022-09,0.7605,0.2856,1448161.74
South,2022-09,0.7687,0.2654,1100171.14
East,2022-09,0.7329,0.2725,1176574.87
West,2022-09,0.7302,0.2789,1112977.63
North,2022-10,0.7369,0.2854,1509518.96
South,2022-10,0.7623,0.2671,1112983.16
East,2022-10,0.7519,0.2986,1095796.49
West,2022-10,0.758,0.2683,1137931.46
North,2022-11,0.7482,0.2818,1393704.14
South,2022-11,0.7494,0.2876,1145287.13
East,2022-11,0.7338,0.2641,1122614.72
West,2022-11,0.7671,0.2889,1093452.73
North,2022-12,0.741,0.2898,1394765.83
South,2022-12,0.7233,0.2616,1083263.01
East,2022-12,0.7409,0.2902,1155042.55
West,2022-12,0.7414,0.2737,1082384.91
North,2023-01,0.7577,0.2723,1490029.83
South,2023-01,0.7256,0.2892,1126452.91
East,2023-01,0.7284,0.2663,1172585.95
West,2023-01,0.7638,0.2637,1126097.17
North,2023-02,0.737,0.2809,1450872.89
South,2023-02,0.754,0.285,1116917.41
East,2023-02,0.76,0.2634,1163345.97
West,2023-02,0.7659,0.2846,1121761.55
North,2023-03,0.7618,0.2714,1401678.37
South,2023-03,0.721,0.295,1159073.56
East,2023-03,0.7392,0.2663,1186937.87
West,2023-03,0.7433,0.2781,1176918.09
North,2023-04,0.7542,0.2826,1484446.57
South,2023-04,0.7451,0.2729,1093930.55
East,2023-04,0.736,0.2813,1081107.39
West,2023-04,0.741,0.2923,1115952.21
North,2023-05,0.7486,0.2862,1451413.16
South,2023-05,0.7617,0.2635,1166262.61
East,2023-05,0.7328,0.2617,1160372.91
West,2023-05,0.7393,0.269,1090108.67
North,2023-06,0.7337,0.2902,1399676.35
South,2023-06,0.7486,0.2832,1098193.33
East,2023-06,0.7636,0.2847,1178868.4
West,2023-06,0.7637,0.2765,1099698.38
North,2023-07,0.7683,0.2822,1500627.83
South,2023-07,0.7493,0.2931,1181301.9
East,2023-07,0.7647,0.294,1176672.46
West,2023-07,0.7689,0.2628,1133464.87
North,2023-08,0.7351,0.2926,1414035.79
South,2023-08,0.7328,0.2664,1128528.12
East,2023-08,0.7236,0.2643,1162951.68
West,2023-08,0.7247,0.2928,1178103.54
North,2023-09,0.7625,0.2645,1381992.81
South,2023-09,0.7595,0.2767,1088566.86
East,2023-09,0.7314,0.2646,1117609.18
West,2023-09,0.7582,0.2767,1129541.22
North,2023-10,0.7436,0.2629,1509223.92
South,2023-10,0.7312,0.2864,1178434.69
East,2023-10,0.733,0.2824,1080984.1
West,2023-10,0.7486,0.2954,1169814.62
