movie_id,month,avg_rating,sentiment_score
M101,2023-02,5.8,0.228
M101,2023-03,6.2,0.318
M101,2023-04,6.9,0.365
M102,2019-04,4.2,-0.158
M102,2019-05,4.4,-0.094
M102,2019-06,8.0,0.65
M103,2022-02,7.6,0.494
M103,2022-03,5.2,0.006
M103,2022-04,7.1,0.465
M105,2022-01,6.5,0.361
M105,2022-02,5.6,0.182
M105,2022-03,4.6,-0.101
M106,2023-11,5.6,0.139
M106,2023-12,7.2,0.437
M107,2019-08,6.1,0.302
M107,2019-09,4.3,-0.132
M107,2019-10,9.1,0.937
M109,2019-06,8.2,0.804
M109,2019-07,4.1,-0.179
M109,2019-08,7.7,0.511
M110,2020-06,5.4,0.158
M110,2020-07,8.7,0.807
M110,2020-08,7.7,0.624
M111,2023-08,4.7,-0.144
M111,2023-09,5.8,0.2
M111,2023-10,4.9,0.056
M112,2021-02,4.4,-0.13
M112,2021-03,9.1,1.0
M112,2021-04,4.4,-0.212
M113,2023-10,7.6,0.484
M113,2023-11,9.1,0.888
M113,2023-12,7.5,0.55
M114,2019-12,9.2,0.93
M114,2020-01,9.0,0.845
M114,2020-02,5.9,0.16
M115,2020-02,9.4,1.0
M115,2020-03,9.1,0.879
M115,2020-04,6.3,0.386
M116,2021-05,7.4,0.503
M116,2021-06,5.1,0.06
M116,2021-07,5.3,0.049
M117,2019-06,6.2,0.17
M117,2019-07,5.6,0.075
M117,2019-08,8.4,
M118,2023-11,9.4,0.895
M118,2023-12,6.2,0.259
M119,2023-03,7.6,0.6
M119,2023-04,7.4,0.569
M119,2023-05,7.4,0.598
M120,2019-08,4.4,-0.074
M120,2019-09,9.2,0.888
M120,2019-10,5.5,0.128
M121,2023-12,5.7,0.125
M122,2023-06,4.1,-0.247
M122,2023-07,8.0,0.582
M122,2023-08,4.2,-0.1
M124,2022-12,7.3,0.531
M124,2023-01,8.0,0.639
M124,2023-02,5.1,0.106
M125,2023-08,4.2,-0.154
M125,2023-09,8.8,0.83
M125,2023-10,9.0,0.845
M126,2019-05,9.3,0.909
M126,2019-06,4.1,-0.178
M126,2019-07,8.4,0.785
M127,2022-05,9.1,0.83
M127,2022-06,5.2,0.058
M127,2022-07,4.8,-0.096
M128,2022-07,6.2,0.23
M128,2022-08,4.7,-0.056
M128,2022-09,8.1,0.613
M129,2019-09,8.7,0.844
M129,2019-10,9.4,1.0
M129,2019-11,8.2,0.793
M131,2021-07,8.9,0.852
M131,2021-08,8.2,0.634
M131,2021-09,9.1,0.942
M132,2020-09,6.0,0.205
M132,2020-10,6.7,0.358
M132,2020-11,7.2,0.39
M133,2023-09,4.5,-0.117
M133,2023-10,9.0,0.819
M133,2023-11,9.4,0.943
M135,2023-12,8.0,0.639
M136,2019-09,6.1,0.215
M136,2019-10,8.1,0.761
M136,2019-11,8.0,0.763
M137,2022-10,7.5,0.61
M137,2022-11,9.5,1.0
M137,2022-12,4.6,-0.03
M138,2020-03,4.5,-0.045
M138,2020-04,6.9,0.444
M138,2020-05,6.9,0.348
M140,2020-05,7.0,0.507
M140,2020-06,5.1,-0.052
M140,2020-07,5.2,0.031
M141,2019-10,7.5,0.595
M141,2019-11,7.6,0.606
M141,2019-12,4.8,-0.001
M143,2022-03,4.8,-0.117
M143,2022-04,6.4,0.302
M143,2022-05,8.0,0.645
M144,2022-07,4.9,-0.072
M144,2022-08,9.5,1.0
M144,2022-09,9.2,0.942
M145,2023-12,7.4,0.489
M146,2021-11,7.8,0.611
M146,2021-12,5.5,0.027
M146,2022-01,7.2,0.522
M147,2022-08,7.8,0.559
M147,2022-09,5.0,-0.051
M147,2022-10,5.6,0.087
M148,2019-02,5.3,0.112
M148,2019-03,9.2,0.907
M148,2019-04,8.1,0.719
M149,2019-10,6.7,0.462
M149,2019-11,4.7,-0.058
M149,2019-12,5.8,0.168
M150,2023-01,6.3,0.258
M150,2023-02,4.6,-0.103
M150,2023-03,4.1,-0.261
M152,2023-08,5.4,0.014
M152,2023-09,4.6,-0.004
M152,2023-10,5.8,0.195
M153,2019-12,4.6,-0.155
M153,2020-01,8.2,0.807
M153,2020-02,5.8,0.163
M154,2021-07,3.3,-0.281
M154,2021-08,5.8,0.082
M154,2021-09,5.8,0.079
M155,2019-01,8.9,0.801
M156,2021-12,7.5,0.527
M156,2022-01,3.0,-0.404
M156,2022-02,7.2,0.428
M158,2019-09,5.4,0.102
M158,2019-10,8.0,0.665
M158,2019-11,4.7,0.003
M159,2020-08,4.9,-0.105
M159,2020-09,7.7,0.534
M159,2020-10,7.1,0.526
M160,2021-09,7.6,0.592
M160,2021-10,7.6,0.658
M160,2021-11,7.3,0.549
M161,2023-09,4.4,-0.191
M161,2023-10,3.2,-0.464
M161,2023-11,3.3,-0.477
M162,2019-03,6.6,0.262
M162,2019-04,8.2,0.632
M162,2019-05,5.9,0.279
M163,2021-01,3.8,-0.29
M163,2021-02,7.9,0.657
M163,2021-03,7.5,0.488
M165,2023-12,6.0,0.146
M166,2019-04,8.3,0.661
M166,2019-05,6.3,0.266
M166,2019-06,9.3,0.972
M167,2022-12,8.3,0.691
M167,2023-01,3.6,-0.255
M167,2023-02,8.5,0.857
M168,2023-06,4.6,-0.005
M168,2023-07,4.4,-0.208
M168,2023-08,6.7,0.41
M169,2022-08,3.6,-0.348
M169,2022-09,5.8,0.182
M169,2022-10,7.2,0.529
M170,2019-01,9.1,0.949
M170,2019-02,7.6,0.604
M170,2019-03,5.7,0.243
M172,2022-04,4.0,-0.158
M172,2022-05,6.8,0.479
M172,2022-06,8.1,0.708
M174,2022-09,7.4,0.45
M174,2022-10,5.4,0.163
M174,2022-11,3.2,-0.303
M175,2019-11,4.5,-0.082
M175,2019-12,4.3,-0.182
M175,2020-01,8.5,0.858
M176,2019-11,4.6,-0.002
M176,2019-12,5.5,0.203
M176,2020-01,4.5,-0.147
M179,2019-06,9.1,0.94
M179,2019-07,5.4,0.175
M179,2019-08,7.6,0.611
M180,2019-08,4.3,-0.234
M180,2019-09,4.8,0.036
M180,2019-10,8.6,0.839
M181,2023-09,7.4,0.501
M181,2023-10,7.9,0.567
M181,2023-11,7.9,0.609
M182,2020-11,4.6,-0.148
M182,2020-12,6.1,0.206
M182,2021-01,5.2,-0.012
M183,2020-02,5.5,0.209
M183,2020-03,7.8,0.636
M183,2020-04,4.6,-0.167
M184,2019-05,5.4,0.022
M184,2019-06,5.5,0.043
M184,2019-07,5.5,0.195
M185,2020-04,5.7,0.189
M185,2020-05,7.6,0.502
M185,2020-06,6.8,0.433
M186,2021-05,4.4,-0.143
M186,2021-06,5.6,0.081
M186,2021-07,9.0,0.797
M187,2023-07,5.2,0.018
M187,2023-08,6.9,0.441
M187,2023-09,9.5,1.0
M189,2021-09,4.3,-0.08
M189,2021-10,4.0,-0.205
M189,2021-11,7.0,0.465
M191,2020-10,5.0,0.094
M191,2020-11,4.5,-0.117
M191,2020-12,4.9,0.038
M192,2021-03,8.2,0.778
M192,2021-04,4.3,-0.186
M192,2021-05,8.5,0.791
M193,2020-01,6.4,0.215
M193,2020-02,6.1,0.166
M193,2020-03,6.4,0.286
M194,2023-04,8.4,0.854
M194,2023-05,8.6,0.705
M194,2023-06,5.2,0.044
M195,2022-07,5.9,0.171
M195,2022-08,7.3,0.428
M195,2022-09,8.6,0.787
M196,2019-03,5.8,0.255
M196,2019-04,5.4,0.081
M196,2019-05,8.4,0.809
M197,2020-07,7.0,
M197,2020-08,7.5,0.615
M197,2020-09,8.8,0.943
M198,2019-12,7.7,0.535
M198,2020-01,6.6,0.381
M198,2020-02,6.7,0.433
M199,2021-04,8.1,0.615
M199,2021-05,5.0,-0.033
M199,2021-06,4.6,-0.06
M200,2020-05,7.4,0.457
M200,2020-06,6.5,0.253
M200,2020-07,4.5,-0.205
M201,2019-01,8.7,0.784
M203,2022-06,6.6,0.412
M203,2022-07,4.1,-0.249
M203,2022-08,4.8,0.051
M204,2020-03,8.8,0.808
M204,2020-04,5.9,0.16
M204,2020-05,5.7,0.252
M206,2020-07,9.4,0.948
M206,2020-08,4.4,-0.119
M206,2020-09,4.1,-0.131
M207,2021-10,7.6,0.531
M207,2021-11,7.2,0.393
M207,2021-12,7.5,0.518
M208,2019-01,4.9,0.026
M208,2019-02,8.6,0.784
M209,2022-11,9.0,0.912
M209,2022-12,9.2,0.981
M209,2023-01,9.4,1.0
M210,2021-02,6.5,0.314
M210,2021-03,6.7,0.418
M210,2021-04,7.5,0.492
M211,2020-11,5.3,0.134
M211,2020-12,6.6,
M211,2021-01,9.1,0.881
M212,2022-05,4.6,-0.163
M212,2022-06,4.3,-0.161
M212,2022-07,6.4,0.277
M213,2021-12,7.4,0.58
M213,2022-01,4.6,-0.161
M213,2022-02,4.7,-0.011
M214,2019-04,5.1,0.104
M214,2019-05,6.0,
M214,2019-06,6.5,0.359
M215,2019-10,8.7,0.791
M215,2019-11,8.6,0.741
M215,2019-12,6.4,0.249
M217,2022-10,5.4,0.016
M217,2022-11,8.6,0.701
M217,2022-12,9.4,1.0
M218,2021-08,5.1,0.077
M218,2021-09,7.5,0.467
M218,2021-10,8.7,0.859
M219,2021-12,8.6,0.874
M219,2022-01,8.0,0.57
M219,2022-02,7.0,0.499
M220,2020-09,6.0,0.169
M220,2020-10,5.9,0.159
M220,2020-11,5.8,0.161
M221,2019-11,9.2,0.944
M221,2019-12,5.1,-0.056
M221,2020-01,7.0,0.531
M222,2019-01,6.1,0.257
M222,2019-02,4.8,-0.004
M222,2019-03,6.3,0.262
