movie_id,month,campaign_type,platform,spend,ctr
M101,2022-12,Social Media,TikTok,89474,0.0123
M101,2022-12,Search,Google,138000,0.0335
M101,2023-01,Social Media,Google,105000,0.0702
M101,2023-01,Search,Google,83000,0.0264
M101,2023-02,Social Media,TikTok,64000,0.0123
M101,2023-02,Search,Meta,83000,0.0203
M102,2019-02,Social Media,Google,48000,0.0187
M102,2019-02,Search,Meta,29000,0.0169
M102,2019-03,Social Media,TikTok,145359,0.0177
M102,2019-03,Search,TikTok,69000,0.0149
M102,2019-04,Social Media,TikTok,118000,0.0189
M102,2019-04,Search,YouTube,119000,0.0101
M103,2021-12,Social Media,Google,133000,0.0697
M103,2021-12,Search,TikTok,144000,0.0486
M103,2022-01,Social Media,TikTok,79000,0.0188
M103,2022-01,Search,Meta,132000,0.0402
M103,2022-02,Social Media,TikTok,61000,0.0267
M103,2022-02,Search,TikTok,119000,0.0377
M105,2021-11,Social Media,YouTube,143000,0.0469
M105,2021-11,Search,YouTube,124000,0.0205
M105,2021-12,Social Media,YouTube,106000,0.0329
M105,2021-12,Search,Meta,135000,0.0504
M105,2022-01,Social Media,Google,132000,0.0446
M105,2022-01,Search,Google,44000,0.0157
M106,2023-09,Social Media,Google,113000,0.0138
M106,2023-09,Search,Google,55000,0.0397
M106,2023-10,Social Media,Meta,24000,0.0445
M106,2023-10,Search,YouTube,114000,0.0431
M106,2023-11,Social Media,TikTok,125000,0.0362
M106,2023-11,Search,YouTube,123000,0.0435
M107,2019-06,Social Media,TikTok,146000,0.0598
M107,2019-06,Search,Meta,77000,0.0554
M107,2019-07,Social Media,YouTube,65000,0.0117
M107,2019-07,Search,YouTube,118000,0.0179
M107,2019-08,Social Media,TikTok,70000,0.0221
M107,2019-08,Search,Google,137000,0.0194
M109,2019-04,Social Media,YouTube,38000,0.0407
M109,2019-04,Search,Google,64000,0.0171
M109,2019-05,Social Media,Google,130000,0.0191
M109,2019-05,Search,Google,131000,0.0483
M109,2019-06,Social Media,Google,18000,0.0106
M109,2019-06,Search,YouTube,68000,0.0354
M110,2020-04,Social Media,TikTok,16000,0.0389
M110,2020-04,Search,Google,121000,0.055
