movie_id,title,genre,release_date,production_budget,language,availability_status
M101,Cybernetic Dawn,Sci-Fi,2023-02-15,8000000,French,Active
M102,Starlight Odyssey,Sci-Fi,2019-04-15,22000000,English,Active
M103,Quantum Mirage,Sci-Fi,2022-02-15,80000000,Korean,Active
M104,Project Kepler,Sci-Fi,2018-01-15,16000000,Spanish,Archived
M105,Neon Grid,Sci-Fi,2022-01-15,76000000,Spanish,Active
M106,Chronos Protocol,Sci-Fi,2023-11-15,74000000,Korean,Active
M107,Interstellar Drift,Sci-Fi,2019-08-15,80000000,French,Active
M108,Parallel Singularity,Sci-Fi,2018-03-15,59000000,French,Archived
M109,The Void Horizon,Sci-Fi,2019-06-15,18000000,English,Archived
M110,Echoes of Andromeda,Sci-Fi,2020-06-15,38000000,English,Active
M111,Carbon Copy,Sci-Fi,2023-08-15,73000000,English,Active
M112,Binary Eclipse,Sci-Fi,2021-02-15,75000000,French,Active
M113,Synthetic Souls,Sci-Fi,2023-10-15,51000000,Japanese,Active
M114,Aegis Engine,Sci-Fi,2019-12-15,13000000,English,Active
M115,Gravity Well,Sci-Fi,2020-02-15,34000000,English,Active
M116,Omega Sector,Sci-Fi,2021-05-15,63000000,French,Active
M117,Solar Wind,Sci-Fi,2019-06-15,50000000,Spanish,Active
M118,Warp Core,Sci-Fi,2023-11-15,14000000,Japanese,Active
M119,Dark Matter,Sci-Fi,2023-03-15,73000000,Spanish,Active
M120,AI Genesis,Sci-Fi,2019-08-15,53000000,French,Active
M121,NeuroLink,Sci-Fi,2023-12-15,76000000,Spanish,Active
M122,Quantum Leap,Sci-Fi,2023-06-15,12000000,Spanish,Active
M123,The Singularity,Sci-Fi,2018-06-15,56000000,French,Archived
M124,Nanite,Sci-Fi,2022-12-15,45000000,Spanish,Active
M125,Exo-Suit,Sci-Fi,2023-08-15,55000000,Korean,Active
M126,Bullet Storm,Action,2019-05-15,22000000,Spanish,Active
M127,Apex Predator,Action,2022-05-15,79000000,Korean,Active
M128,Velocity Zero,Action,2022-07-15,51000000,Spanish,Active
M129,Redline Fury,Action,2019-09-15,68000000,English,Active
M130,Iron Fist,Action,2018-03-15,25000000,Korean,Archived
