region,movie_id,month,engagement_score,viewer_growth
North,M104,2019-01,7.77,0.0108
South,M104,2019-01,8.07,0.0161
East,M104,2019-01,6.32,0.0358
West,M104,2019-01,7.29,0.1145
North,M108,2019-01,7.28,-0.0103
South,M108,2019-01,8.07,-0.0103
East,M108,2019-01,7.17,-0.0043
West,M108,2019-01,8.45,0.0594
North,M123,2019-01,7.3,0.0333
South,M123,2019-01,7.43,0.0283
East,M123,2019-01,7.04,-0.0191
West,M123,2019-01,8.16,0.0446
North,M130,2019-01,,0.0516
South,M130,2019-01,6.71,0.1046
East,M130,2019-01,8.74,0.072
West,M130,2019-01,5.92,0.0004
North,M134,2019-01,7.43,0.0361
South,M134,2019-01,6.3,0.0571
East,M134,2019-01,7.65,0.1081
West,M134,2019-01,5.75,0.1489
North,M139,2019-01,7.88,0.0038
South,M139,2019-01,6.71,-0.0484
East,M139,2019-01,8.73,0.1336
West,M139,2019-01,7.3,0.0634
North,M142,2019-01,8.62,0.1329
South,M142,2019-01,6.31,0.1444
East,M142,2019-01,7.85,0.1344
West,M142,2019-01,6.66,-0.049
North,M151,2019-01,4.46,0.0343
South,M151,2019-01,5.95,-0.028
East,M151,2019-01,3.41,0.0894
West,M151,2019-01,3.34,-0.0454
North,M155,2019-01,4.15,0.0123
South,M155,2019-01,6.62,-0.0221
East,M155,2019-01,4.71,0.0868
West,M155,2019-01,5.13,-0.0052
North,M157,2019-01,4.82,0.1017
South,M157,2019-01,6.39,0.095
East,M157,2019-01,4.04,0.0814
West,M157,2019-01,4.99,0.1238
North,M164,2019-01,4.25,0.0421
South,M164,2019-01,5.98,0.1181
East,M164,2019-01,4.21,0.0836
West,M164,2019-01,3.67,0.0227
North,M170,2019-01,4.29,0.093
South,M170,2019-01,6.73,0.1409
East,M170,2019-01,4.37,0.1454
West,M170,2019-01,5.44,0.0752
North,M171,2019-01,5.08,-0.0343
South,M171,2019-01,7.45,0.0188
East,M171,2019-01,4.62,-0.006
West,M171,2019-01,4.81,0.103
North,M173,2019-01,4.04,0.119
South,M173,2019-01,6.75,0.0385
East,M173,2019-01,4.54,-0.0219
West,M173,2019-01,3.94,0.0451
North,M177,2019-01,7.11,0.1025
South,M177,2019-01,8.23,0.0015
East,M177,2019-01,5.39,-0.0443
West,M177,2019-01,7.25,0.1451
North,M178,2019-01,6.51,-0.0472
South,M178,2019-01,7.99,0.0642
East,M178,2019-01,5.36,-0.0019
West,M178,2019-01,8.33,0.0737
North,M188,2019-01,6.3,0.0989
South,M188,2019-01,9.17,-0.0435
East,M188,2019-01,6.29,0.068
West,M188,2019-01,7.57,0.1329
North,M190,2019-01,6.38,-0.0045
South,M190,2019-01,8.07,0.1405
East,M190,2019-01,5.4,0.1156
West,M190,2019-01,7.52,0.1415
North,M201,2019-01,6.33,0.1372
South,M201,2019-01,7.03,-0.0386
East,M201,2019-01,6.46,0.0301
West,M201,2019-01,6.45,-0.021
North,M202,2019-01,5.62,-0.0286
South,M202,2019-01,5.78,0.1034
East,M202,2019-01,6.15,0.0713
West,M202,2019-01,5.39,0.0086
North,M205,2019-01,5.16,0.0018
South,M205,2019-01,6.9,0.0914
East,M205,2019-01,6.4,0.1266
West,M205,2019-01,5.85,-0.0331
North,M208,2019-01,5.8,-0.0186
South,M208,2019-01,7.68,-0.0263
East,M208,2019-01,7.01,0.0316
West,M208,2019-01,7.09,0.0846
North,M216,2019-01,6.14,0.1306
South,M216,2019-01,7.12,0.1319
East,M216,2019-01,5.63,-0.0277
West,M216,2019-01,6.06,-0.0333
North,M222,2019-01,5.91,-0.0043
South,M222,2019-01,7.04,0.0687
East,M222,2019-01,6.3,-0.0349
West,M222,2019-01,6.45,0.0421
North,M104,2019-02,8.03,-0.0446
South,M104,2019-02,6.75,0.0402
East,M104,2019-02,6.48,0.0193
West,M104,2019-02,7.67,0.0958
North,M108,2019-02,7.02,0.0009
South,M108,2019-02,,0.1476
East,M108,2019-02,6.29,0.0255
West,M108,2019-02,7.89,0.0489
North,M123,2019-02,7.8,0.099
South,M123,2019-02,7.19,-0.0389
East,M123,2019-02,7.76,0.0405
West,M123,2019-02,7.37,0.1058
North,M130,2019-02,7.61,0.0938
South,M130,2019-02,5.62,0.088
East,M130,2019-02,8.42,-0.0362
West,M130,2019-02,6.63,0.1078
North,M134,2019-02,8.04,-0.0349
South,M134,2019-02,5.61,-0.0236
East,M134,2019-02,7.31,0.1001
West,M134,2019-02,5.32,0.0251
North,M139,2019-02,7.51,-0.0202
South,M139,2019-02,5.59,0.0594
East,M139,2019-02,8.04,-0.0437
West,M139,2019-02,6.49,0.0962
North,M142,2019-02,9.35,0.0546
South,M142,2019-02,7.05,-0.0055
East,M142,2019-02,9.27,0.0631
West,M142,2019-02,6.94,0.1377
North,M148,2019-02,8.43,0.0261
South,M148,2019-02,5.54,0.0685
East,M148,2019-02,8.09,0.0464
West,M148,2019-02,5.61,-0.0241
North,M151,2019-02,4.01,0.1061
South,M151,2019-02,7.46,0.0414
East,M151,2019-02,4.37,0.023
West,M151,2019-02,5.09,0.0843
North,M155,2019-02,5.29,-0.0139
South,M155,2019-02,6.61,-0.0338
East,M155,2019-02,3.83,0.1007
West,M155,2019-02,4.86,0.0108
North,M157,2019-02,3.98,0.0711
South,M157,2019-02,5.75,0.0177
East,M157,2019-02,5.11,0.0407
West,M157,2019-02,4.46,0.0392
North,M164,2019-02,5.13,0.101
South,M164,2019-02,6.91,-0.0217
East,M164,2019-02,4.62,0.0302
West,M164,2019-02,4.03,0.1158
North,M170,2019-02,5.58,-0.0062
South,M170,2019-02,5.92,-0.0085
East,M170,2019-02,3.93,0.1204
West,M170,2019-02,4.69,0.1486
North,M171,2019-02,3.81,0.0875
South,M171,2019-02,7.36,0.0077
East,M171,2019-02,4.24,0.0094
West,M171,2019-02,4.26,0.0488
North,M173,2019-02,4.13,0.0094
South,M173,2019-02,7.2,0.0414
East,M173,2019-02,5.28,-0.0152
West,M173,2019-02,5.06,0.0091
North,M177,2019-02,5.31,0.1481
South,M177,2019-02,7.79,0.1346
East,M177,2019-02,5.38,0.0001
West,M177,2019-02,6.95,0.0631
North,M178,2019-02,6.38,0.1354
South,M178,2019-02,7.18,0.1059
East,M178,2019-02,5.66,0.0583
West,M178,2019-02,7.72,0.0781
North,M188,2019-02,6.15,0.1186
South,M188,2019-02,8.46,-0.0138
East,M188,2019-02,7.25,0.0914
West,M188,2019-02,8.82,0.0788
North,M190,2019-02,6.19,0.016
South,M190,2019-02,7.23,0.1316
East,M190,2019-02,5.33,0.0871
West,M190,2019-02,7.94,0.0403
North,M201,2019-02,5.85,0.046
South,M201,2019-02,6.64,0.0573
East,M201,2019-02,6.49,0.1478
West,M201,2019-02,6.4,0.1155
North,M202,2019-02,6.03,0.0726
South,M202,2019-02,6.94,0.0812
East,M202,2019-02,7.03,0.007
West,M202,2019-02,6.59,-0.0386
North,M205,2019-02,5.55,-0.0287
South,M205,2019-02,5.47,0.1207
East,M205,2019-02,6.8,0.0212
West,M205,2019-02,6.7,0.0569
North,M208,2019-02,5.98,0.1436
South,M208,2019-02,6.64,0.0764
East,M208,2019-02,7.14,0.0913
West,M208,2019-02,6.59,0.1486
North,M216,2019-02,5.87,0.0693
South,M216,2019-02,7.43,0.0205
East,M216,2019-02,7.1,0.1007
West,M216,2019-02,5.67,0.0718
North,M222,2019-02,5.94,0.0514
South,M222,2019-02,5.69,-0.0077
East,M222,2019-02,7.21,0.0797
West,M222,2019-02,7.28,0.0561
North,M104,2019-03,8.34,-0.0272
South,M104,2019-03,6.86,0.0499
East,M104,2019-03,7.3,-0.0123
West,M104,2019-03,7.81,0.0278
North,M108,2019-03,8.02,0.0343
South,M108,2019-03,6.66,-0.0346
East,M108,2019-03,7.64,0.0036
West,M108,2019-03,6.49,0.0121
North,M123,2019-03,7.48,0.0452
South,M123,2019-03,6.6,0.0092
East,M123,2019-03,7.3,-0.005
West,M123,2019-03,7.66,0.1141
North,M130,2019-03,7.73,0.0672
South,M130,2019-03,6.87,0.0464
East,M130,2019-03,7.82,0.0708
West,M130,2019-03,5.66,0.1054
North,M134,2019-03,8.65,0.1117
South,M134,2019-03,5.19,0.098
East,M134,2019-03,7.51,-0.0366
West,M134,2019-03,6.53,0.1397
North,M139,2019-03,7.91,0.0342
South,M139,2019-03,5.82,0.1138
East,M139,2019-03,9.38,0.0312
West,M139,2019-03,5.53,0.029
North,M142,2019-03,8.82,0.0016
South,M142,2019-03,7.33,0.061
East,M142,2019-03,8.32,0.0279
West,M142,2019-03,7.23,-0.0483
North,M148,2019-03,9.37,0.03
South,M148,2019-03,7.12,0.1416
East,M148,2019-03,7.92,0.0892
West,M148,2019-03,6.4,0.0659
North,M151,2019-03,4.59,0.1329
South,M151,2019-03,5.82,0.0723
East,M151,2019-03,5.39,0.0422
West,M151,2019-03,4.93,0.0157
North,M155,2019-03,5.42,0.0337
South,M155,2019-03,6.59,-0.0088
East,M155,2019-03,5.46,0.1369
West,M155,2019-03,4.44,-0.0228
North,M157,2019-03,4.66,0.0087
South,M157,2019-03,5.84,0.0111
East,M157,2019-03,5.01,0.097
West,M157,2019-03,5.6,0.0733
North,M162,2019-03,5.37,-0.0041
South,M162,2019-03,7.31,0.1325
East,M162,2019-03,3.98,0.0125
West,M162,2019-03,5.42,0.0589
North,M164,2019-03,4.69,0.0037
South,M164,2019-03,5.96,0.1245
East,M164,2019-03,3.93,0.0836
West,M164,2019-03,3.7,0.1117
North,M170,2019-03,,0.0702
South,M170,2019-03,6.72,0.1289
East,M170,2019-03,3.9,0.053
West,M170,2019-03,5.03,0.0333
North,M171,2019-03,4.31,0.0652
South,M171,2019-03,6.12,-0.0115
East,M171,2019-03,4.85,0.1295
West,M171,2019-03,4.7,0.1162
North,M173,2019-03,3.84,0.148
South,M173,2019-03,7.0,0.0517
East,M173,2019-03,5.23,-0.0348
West,M173,2019-03,5.38,-0.0446
North,M177,2019-03,5.23,0.0733
South,M177,2019-03,6.65,0.148
East,M177,2019-03,4.9,-0.0016
West,M177,2019-03,7.06,0.0666
North,M178,2019-03,6.95,-0.0153
South,M178,2019-03,6.93,-0.0037
East,M178,2019-03,5.84,-0.0314
West,M178,2019-03,6.73,0.1065
North,M188,2019-03,5.79,0.1172
South,M188,2019-03,8.6,0.0111
East,M188,2019-03,5.97,-0.0202
West,M188,2019-03,7.02,-0.0145
North,M190,2019-03,6.39,-0.0117
South,M190,2019-03,7.98,0.0578
East,M190,2019-03,5.36,-0.0083
West,M190,2019-03,7.11,0.0975
North,M196,2019-03,6.68,0.0009
South,M196,2019-03,7.72,0.1117
East,M196,2019-03,7.54,-0.0002
West,M196,2019-03,8.77,0.074
North,M201,2019-03,5.85,-0.0458
South,M201,2019-03,6.12,0.1166
East,M201,2019-03,6.74,0.1448
West,M201,2019-03,7.29,0.1372
North,M202,2019-03,6.97,0.0718
South,M202,2019-03,7.12,0.1187
East,M202,2019-03,7.09,0.0354
West,M202,2019-03,7.17,0.0344
North,M205,2019-03,5.62,-0.0308
South,M205,2019-03,6.69,-0.041
East,M205,2019-03,5.88,0.0546
West,M205,2019-03,4.97,0.1096
North,M208,2019-03,6.45,0.0517
South,M208,2019-03,6.68,0.1472
East,M208,2019-03,7.25,0.0304
West,M208,2019-03,6.53,0.0359
North,M216,2019-03,6.59,0.0016
South,M216,2019-03,5.45,0.0415
East,M216,2019-03,7.12,0.1244
West,M216,2019-03,7.15,-0.0397
North,M222,2019-03,7.53,0.1316
South,M222,2019-03,6.0,-0.007
East,M222,2019-03,6.88,0.1402
West,M222,2019-03,7.7,0.0173
North,M102,2019-04,7.87,0.0364
South,M102,2019-04,7.56,-0.0347
East,M102,2019-04,8.36,-0.046
West,M102,2019-04,7.1,0.0085
North,M104,2019-04,7.07,-0.0139
South,M104,2019-04,6.51,0.1431
East,M104,2019-04,7.16,0.037
West,M104,2019-04,6.98,0.1453
North,M108,2019-04,8.12,0.1319
South,M108,2019-04,7.55,0.0317
East,M108,2019-04,7.68,-0.0041
West,M108,2019-04,6.95,0.115
North,M123,2019-04,8.04,-0.0144
South,M123,2019-04,7.66,0.1163
East,M123,2019-04,7.61,0.0162
West,M123,2019-04,7.43,-0.0433
North,M130,2019-04,7.06,0.1224
South,M130,2019-04,6.72,0.1243
East,M130,2019-04,8.8,-0.0155
West,M130,2019-04,5.75,0.0528
North,M134,2019-04,8.43,0.1021
South,M134,2019-04,5.54,0.0646
East,M134,2019-04,8.37,0.0619
West,M134,2019-04,5.14,0.0146
North,M139,2019-04,8.32,0.118
South,M139,2019-04,5.67,0.1028
