movie_id,month,watch_hours,unique_viewers,completion_rate,avg_watch_time,churn_impact_score
M104,2019-01,212754,110219,0.7191,1.41,2.89
M108,2019-01,2919373,1218586,0.7573,1.18,2.01
M123,2019-01,3816927,1844266,0.744,1.07,1.87
M130,2019-01,821022,291719,0.6488,0.86,1.78
M134,2019-01,2443603,1191293,0.6107,1.51,3.21
M139,2019-01,3570459,1806189,0.6784,1.32,2.88
M142,2019-01,1410948,685555,0.6326,1.44,2.6
M151,2019-01,474920,177128,0.4332,0.69,4.98
M155,2019-01,3725025,1297818,0.4783,0.9,2.8
M157,2019-01,1903081,633466,0.4835,0.96,3.96
M164,2019-01,1579445,755388,0.4446,0.63,1.3
M170,2019-01,5461460,2246862,0.4847,1.03,3.81
M171,2019-01,739563,267730,0.4907,1.01,4.73
M173,2019-01,850984,332105,0.4769,0.62,1.66
M177,2019-01,1600102,561726,0.6185,1.3,3.8
M178,2019-01,2219274,887474,0.6197,1.09,2.29
M188,2019-01,966461,501313,0.6631,1.62,5.0
M190,2019-01,415097,190646,0.597,1.22,4.66
M201,2019-01,2415527,922146,0.6717,1.11,2.33
M202,2019-01,2081980,693802,0.6265,1.52,4.25
M205,2019-01,1758621,721705,0.6107,1.05,3.06
M208,2019-01,6081246,2235156,0.6721,1.12,4.03
M216,2019-01,1734762,605715,0.6202,1.1,3.79
M222,2019-01,1052628,332856,0.6804,1.3,3.21
M104,2019-02,181431,56889,0.7476,1.71,2.99
M108,2019-02,2709093,1078279,0.7277,1.1,3.21
M123,2019-02,3571052,1155450,0.7574,1.18,4.16
M130,2019-02,743738,239301,0.6204,0.99,3.35
M134,2019-02,2396375,964143,0.6124,1.17,3.17
M139,2019-02,3182197,1414002,0.6394,0.96,4.1
M142,2019-02,1237731,435424,0.6603,1.36,4.28
M148,2019-02,5635963,2260298,0.6519,1.52,4.5
M151,2019-02,448819,176955,0.4498,0.92,1.62
M155,2019-02,3514668,1113334,0.4614,1.06,4.41
M157,2019-02,1804641,773855,0.4463,1.04,1.14
M164,2019-02,1324619,493593,0.4765,0.84,1.39
M170,2019-02,5294471,1752201,0.4737,0.6,4.18
M171,2019-02,664038,285635,0.4483,1.0,1.68
M173,2019-02,750238,248491,0.472,0.65,2.84
M177,2019-02,1451529,672796,0.5855,1.22,1.63
M178,2019-02,1931094,845564,0.6194,0.94,4.38
M188,2019-02,876911,374977,0.6342,1.23,4.97
M190,2019-02,365150,115221,0.6229,1.3,3.98
M201,2019-02,2174047,820714,0.6598,1.48,3.43
M202,2019-02,1841993,684433,0.636,1.31,4.35
M205,2019-02,1615552,527137,0.6223,1.22,3.93
M208,2019-02,5092250,2300901,0.6774,1.29,4.89
M216,2019-02,1567839,509223,0.6465,1.18,4.23
M222,2019-02,1019169,448143,0.6508,1.6,4.44
M104,2019-03,172688,54442,0.7444,1.66,1.06
M108,2019-03,2386065,979219,0.7416,1.68,4.76
M123,2019-03,3114189,1463881,0.7273,1.74,1.89
M130,2019-03,643748,217968,0.6355,0.88,4.79
M134,2019-03,2011142,807793,0.6049,1.08,3.68
M139,2019-03,2929113,937507,0.646,1.12,1.4
M142,2019-03,1157975,488316,0.6676,1.19,4.8
M148,2019-03,4991114,2573937,0.6793,1.13,2.59
M151,2019-03,392410,199089,0.4659,0.95,3.39
M155,2019-03,3013710,1038668,0.4532,0.58,4.06
M157,2019-03,1519526,722781,0.4705,1.12,1.01
M162,2019-03,5013326,2503454,0.4615,0.95,1.1
M164,2019-03,1180295,406160,0.4389,0.56,3.97
M170,2019-03,4694823,1650821,0.4718,0.63,3.02
M171,2019-03,632534,339942,0.4767,0.86,4.86
M173,2019-03,670862,271540,0.4576,1.09,1.29
M177,2019-03,1278333,482095,0.5833,1.12,2.3
M178,2019-03,1821494,716339,0.6077,1.28,4.41
M188,2019-03,820336,285180,0.641,0.96,2.36
M190,2019-03,332134,139412,0.5898,0.99,1.61
M196,2019-03,6724189,3550283,0.6916,1.49,4.25
M201,2019-03,2045855,780547,0.6581,1.09,3.66
M202,2019-03,1713509,568266,0.6361,1.05,3.31
M205,2019-03,1390649,511375,0.5962,1.0,4.05
M208,2019-03,4780489,1631505,0.6773,1.35,3.57
M216,2019-03,1337189,431251,0.6415,1.36,2.24
M222,2019-03,878428,485708,0.6835,0.95,3.53
M102,2019-04,3539448,1244288,0.7908,1.33,3.89
M104,2019-04,152385,58730,0.6942,1.39,3.7
M108,2019-04,2042657,749127,0.7263,1.58,1.46
M123,2019-04,2821622,1284572,0.7539,0.95,2.58
M130,2019-04,595403,328813,0.6001,0.92,2.31
M134,2019-04,1715182,602702,0.6038,1.12,4.33
M139,2019-04,2587206,1361038,0.6631,1.59,4.45
M142,2019-04,1025216,393895,0.6505,0.8,2.3
M148,2019-04,4360936,1636143,0.6816,1.57,1.97
M151,2019-04,358078,141334,0.4398,0.72,1.67
M155,2019-04,2775561,1416364,0.463,0.99,4.28
M157,2019-04,1413789,663508,0.4308,0.94,3.62
M162,2019-04,4126093,1431683,0.4762,0.85,4.7
M164,2019-04,1093321,406527,0.4547,0.63,1.27
