month,active_subscribers,new_subscribers,churn_rate,subscription_price
2019-01,10250000,846898,0.0501,9.99
2019-02,10589507,879778,0.0511,9.99
2019-03,10817362,872999,0.0596,9.99
2019-04,10909575,874957,0.0525,9.99
2019-05,10878976,890181,0.058,9.99
2019-06,10772840,904396,0.056,9.99
2019-07,10661071,890899,0.0561,9.99
2019-08,10617872,870868,0.0583,9.99
2019-09,10701679,894540,0.0574,9.99
2019-10,10938797,886444,0.0525,9.99
2019-11,11315273,939883,0.0552,9.99
2019-12,11779489,955297,0.0508,9.99
2020-01,15488453,2197842,0.0382,9.99
2020-02,16316773,2300152,0.0373,9.99
2020-03,16996292,2463526,0.0356,9.99
2020-04,17478935,2513440,0.0392,9.99
2020-05,17773356,2540541,0.044,9.99
2020-06,17946755,2599922,0.0436,9.99
2020-07,18110519,2583694,0.0351,9.99
2020-08,18392545,2671964,0.0435,9.99
2020-09,18902994,2701864,0.0425,9.99
2020-10,19702554,2841556,0.0372,9.99
2020-11,20782237,2972916,0.0353,9.99
2020-12,22061144,3193438,0.039,9.99
2021-01,23404116,3353148,0.0363,9.99
2021-02,24655764,3456461,0.0389,9.99
2021-03,25682564,3600431,0.0414,9.99
2021-04,26411871,3783022,0.0355,9.99
2021-05,26856762,3799738,0.0383,9.99
2021-06,27118779,3868599,0.0425,9.99
2021-07,27366238,3879599,0.0579,9.99
2021-08,27792399,4085464,0.0385,9.99
2021-09,28563722,4155125,0.0415,9.99
2021-10,29771912,4365969,0.037,9.99
2021-11,31403388,4429971,0.0363,9.99
2021-12,33335904,4798629,0.0372,9.99
2022-01,8557654,355431,0.0867,11.99
2022-02,8666898,359640,0.0861,11.99
2022-03,8678933,363902,0.0861,11.99
2022-04,8580446,348571,0.0918,11.99
2022-05,8387781,342165,0.0922,11.99
2022-06,8142285,336937,0.0913,11.99
2022-07,7899034,328165,0.0935,11.99
2022-08,7712011,310347,0.0948,11.99
2022-09,7619722,310080,0.0893,11.99
2022-10,7635084,313129,0.0884,11.99
2022-11,7742234,322422,0.0861,11.99
2022-12,7901049,326085,0.0933,11.99
2023-01,20945652,1712138,0.0573,11.99
2023-02,21639429,1754532,0.0581,11.99
2023-03,22105045,1811154,0.0544,11.99
2023-04,22293481,1807412,0.0585,11.99
2023-05,22230952,1786182,0.0588,11.99
2023-06,22014064,1802045,0.0561,11.99
2023-07,21785668,1745354,0.0585,11.99
2023-08,21697391,1754201,0.058,11.99
2023-09,21868649,1826497,0.057,11.99
2023-10,22353194,1789163,0.0595,11.99
2023-11,23122514,1916400,0.0549,11.99
2023-12,24071130,1992185,0.0565,11.99
